"text","text_en","cmp_code","eu_code"
"INTRODUCCIÓN","INTRODUCTION","H",NA
"Un programa de gobierno acorde a las necesidades de la Costa Rica actual supone en primer lugar, caracterizar la realidad en la que vivimos; esto es, hacer una suerte de diagnóstico del estado en el que se encuentra nuestro país.","A government program in accordance with the needs of today's Costa Rica implies, in the first place, characterizing the reality in which we live; that is, making a sort of diagnosis of the state in which our country finds itself.","202.1",NA
"El problema más apremiante que enfrenta la sociedad costarricense en la actualidad es el crecimiento de la desigualdad social y de la pobreza.","The most pressing problem facing Costa Rican society today is the growth of social inequality and poverty.","503",NA
"Es decir, el ensanchamiento de las odiosas brechas que separan a los hogares con mayores ingresos y aquellos con los menores ingresos en nuestro país.","In other words, the widening of the odious gaps that separate the households with the highest incomes and those with the lowest incomes in our country.","503",NA
"Y no es para menos.","And no wonder.","503",NA
"Desde los años 30 del siglo XX Costa Rica se había caracterizado por ser una de las sociedades más igualitarias de América Latina, debido a la visionaria reforma social que tempranamente llevó a cabo.","Since the 1930s, Costa Rica had been characterized as one of the most egalitarian societies in Latin America, due to the visionary social reform that was carried out early on.","503",NA
"Sin embargo, hoy tiene el triste “mérito” de haber experimentado no solo un importante aumento de esas diferencias durante las últimas tres décadas, sino que, además, según el Banco Mundial, es uno de los tres únicos países de toda América Latina que no lograron reducir ni la desigualdad ni la pobreza en los últimos 10 años.","However, today it has the sad ""merit"" of having experienced not only a significant increase in these differences over the last three decades, but also, according to the World Bank, it is one of only three countries in all of Latin America that have not managed to reduce either inequality or poverty in the last 10 years.","503",NA
"Esto lo ilustra el comportamiento del Coeficiente de Gini, que es un indicador de la concentración del ingreso.","This is illustrated by the behavior of the Gini Coefficient, which is an indicator of income concentration.","503",NA
"Así, mientras este coeficiente se acerque más a 0, el país estará más cerca de la perfecta igualdad, y mientras se acerque más a 1, el país estará más próximo a la perfecta desigualdad.","Thus, the closer this coefficient is to 0, the closer the country is to perfect equality, and the closer it is to 1, the closer the country is to perfect inequality.","503",NA
"Resulta que, en Costa Rica, este coeficiente ha venido creciendo de manera sostenida y así acercándose a la perfecta desigualdad: mientras en 1988 era de 0,358, en el 2012 ascendió a 0,518.","It turns out that, in Costa Rica, this coefficient has been growing steadily and thus approaching perfect inequality: while in 1988 it was 0.358, in 2012 it rose to 0.518.","503",NA
"Lo anterior tiene una explicación: se debe al desmantelamiento del modelo solidario de desarrollo del Estado Social de Derecho establecido en nuestro país desde los años treinta del Siglo XX y su sustitución por el modelo económico neoliberal desde hace aproximadamente tres décadas.","This has an explanation: it is due to the dismantling of the solidarity-based development model of the social rule of law established in our country since the 1930s and its replacement by the neoliberal economic model of approximately three decades ago.","103.2",NA
"El modelo neoliberal se ha caracterizado por una apertura comercial y de la cuenta de capitales que, si bien ha atraído Inversión Extranjera Directa, también ha debilitado la soberanía jurídica y ambiental del país,","The neoliberal model has been characterized by an opening of trade and of the capital account which, although it has attracted Foreign Direct Investment, has also weakened the country's legal and environmental sovereignty,","103.2",NA
"ha debilitado a las micro, pequeñas y medianas empresas (las mipymes), que son la mayoría de las empresas, y que producen y crean empleos en el mercado interno, y ha generado esa concentración de la riqueza y de la pobreza en polos cada vez más extremos.","has weakened micro, small and medium-sized enterprises (MSMEs), which are the majority of enterprises, and which produce and create jobs in the domestic market, and has generated this concentration of wealth and poverty in ever more extreme poles. and","103.2",NA
"y ha generado esa concentración de la riqueza y de la pobreza en polos cada vez más extremos.","has generated this concentration of wealth and poverty in ever more extreme poles.","103.2",NA
"El balance de este modelo es que más de 1 millón 200 mil costarricenses viven en la pobreza en Costa Rica (¡más de 300 mil no puede completar tres platos de comida en el día!),","The balance of this model is that more than 1,200,000 Costa Ricans live in poverty in Costa Rica (more than 300,000 cannot complete three meals a day!), while","103.2",NA
"al tiempo que el mundo del trabajo se encuentra cada vez más precarizado.","the world of work is increasingly precarious.","103.2",NA
"El desempleo afecta a cerca del 10% de la fuerza de trabajo del país –el 12% en el caso de las mujeres-,","Unemployment affects close to 10% of the country's labor force - 12% in the case of women -","701",NA
