"text","text_en","cmp_code","eu_code"
"Las propuestas de Otto","Otto's proposals","H",NA
"Más y mejores empleos","More and better jobs","701",NA
"Hacer que la plata alcance","Making the money work","408",NA
"Lucha contra la corrupción","Fight against corruption","304",NA
"Otras propuestas","Other proposals","000",NA
"MÁS Y MEJORES EMPLEOS","MORE AND BETTER JOBS","H",NA
"Puntos importantes:","Important points:","H",NA
"Eliminar regulaciones innecesarias.","Eliminate unnecessary regulations.","303",NA
"Acceso a capital y financiamiento.","Access to capital and financing.","402",NA
"Recurso humano calificado.","Qualified human resources.","411",NA
"Comercio libre.","Free trade.","401",NA
"Libre competencia.","Free competition.","403",NA
"Atracción de inversión extranjera directa.","Attraction of foreign direct investment.","407",NA
"Atracción de turistas","Tourist attraction","408",NA
"Sociedad de propietarios.","Owners' partnership.","401",NA
"Sociedad de emprendedores.","Entrepreneur society.","402",NA
"Seguridad jurídica.","Legal security.","605.1",NA
"Infraestructura competitiva.","Competitive infrastructure.","411",NA
"Promoción de la economía social.","Promotion of the social economy.","403",NA
"Apoyo a PYMES.","Support to SMEs.","402",NA
"Innovación y desarrollo tecnológico.","Innovation and technological development.","411",NA
"Reformas adicionales para atraer inversiones y crear más puestos de trabajo.","Additional reforms to attract investment and create more jobs.","407",NA
"1.1 Eliminar regulaciones innecesarias.","1.1 Eliminate unnecessary regulations.","303",NA
"También debemos racionalizar y mejorar otras regulaciones.","We must also streamline and improve other regulations.","403",NA
"Uno de los principales problemas que enfrenta quien quiere iniciar un pequeño o gran emprendimiento en nuestro país, es la tramitomanía, que es el exceso de trámites que hacen de ese intento un verdadero calvario.","One of the main problems faced by those who want to start a small or large enterprise in our country is the ""tramitomania"", which is the excess of paperwork that makes this attempt a real ordeal.","303",NA
