"text","text_en","cmp_code","eu_code"
"PRESENTACIÓN","PRESENTATION","H",NA
"Queridas y queridos costarricenses: Este documento que hoy reciben representa un compromiso inclaudicable con todas y todos ustedes.","Dear Costa Ricans: This document that you are receiving today represents an unwavering commitment to all of you.","202.1",NA
"En él encontrarán las propuestas que hemos construido con base en un riguroso estudio de la historia nacional y las experiencias de éxito y de fracaso de otros países.","In it you will find the proposals that we have built based on a rigorous study of national history and the experiences of success and failure in other countries.","305.1",NA
"También está incorporado el análisis de las diferentes teorías de desarrollo, y un alto componente parte del diálogo y la escucha constante del sentir de la ciudadanía.","The analysis of the different development theories is also incorporated, and a high component is based on dialogue and constant listening to the feelings of the citizens.","202.1",NA
"Anclados a nuestros principios éticos y programáticos, queremos devolver a Costa Rica al camino de la solidaridad, el diálogo constructivo, la paz social, el respeto al medio ambiente, la inclusividad, la eficiencia, el respeto a la institucionalidad, la honestidad en la función pública y la competitividad económica y social.","Anchored to our ethical and programmatic principles, we want to return Costa Rica to the path of solidarity, constructive dialogue, social peace, respect for the environment, inclusiveness, efficiency, respect for institutions, honesty in public service and economic and social competitiveness.","305.1",NA
"Queremos que Costa Rica camine hacia un desarrollo basado en el conocimiento, la educación, la cultura, la ciencia y la tecnología.","We want Costa Rica to move towards a development based on knowledge, education, culture, science and technology.","411",NA
"Esta Costa Rica, con sus 640 mil kilómetros cuadrados de territorio, merece un gobierno con visión de largo plazo del país que queremos, que entienda la dimensión del compromiso adquirido,","This Costa Rica, with its 640,000 square kilometers of territory, deserves a government with a long-term vision of the country we want, that understands the dimension of the commitment acquired,","305.1",NA
"que no le tenga miedo al trabajo duro y crea en el diálogo honesto y transparente como la única vía para construir y compartir esa visión con todas y todos los habitantes de esta gran nación.","that is not afraid of hard work and believes in honest and transparent dialogue as the only way to build and share that vision with all the inhabitants of this great nation.","304",NA
"Queremos un país unido trabajando por su destino.","We want a united country working for its destiny.","606.1",NA
"El Partido Acción Ciudadana nació de una gran alianza de miles de costarricenses que diagnosticaron una realidad nacional y se preocuparon por ofrecer una solución.","The Citizen Action Party was born from a great alliance of thousands of Costa Ricans who diagnosed a national reality and were concerned about offering a solution.","305.1",NA
"Hoy somos muchos miles más, convencidos del momento histórico que nos toca vivir.","Today we are many thousands more, convinced of the historic moment we are living.","305.1",NA
"Devolver a Costa Rica a la ruta del desarrollo con equidad, la inclusión y la ética es una responsabilidad que solo Acción Ciudadana puede asumir.","To return Costa Rica to the path of development with equity, inclusion and ethics is a responsibility that only Acción Ciudadana can assume.","305.1",NA
