"text","text_en","cmp_code","eu_code"
"En el año 2021 Costa Rica cumplirá 200 años de vida independiente.","In 2021 Costa Rica will celebrate 200 years of independent life.","601.1",NA
"Iniciaremos entonces un nuevo Centenario.","We will then begin a new Centennial.","601.1",NA
"Es un momento importante para reflexionar sobre nuestro pasado, nuestro presente y, más aún, nuestro futuro.","It is an important time to reflect on our past, our present and, even more so, our future.","601.1",NA
"Tenemos un país hermoso.","We have a beautiful country.","601.1",NA
"Hemos heredado grandes cosas que han sostenido nuestro desarrollo en las últimas décadas.","We have inherited great things that have sustained our development in recent decades.","601.1",NA
"Nuestros abuelos construyeron una sociedad basada en la estabilidad y la calidad humana.","Our grandparents built a society based on stability and human quality.","601.1",NA
"Hemos alcanzado importantes objetivos en temas económicos, sociales y ambientales.","We have achieved important economic, social and environmental objectives.","601.1",NA
"Debemos sentirnos orgullosos de Costa Rica.","We should be proud of Costa Rica.","601.1",NA
"Sin embargo, estamos convencidos que merecemos un mejor país.","However, we are convinced that we deserve a better country.","601.1",NA
"Con más oportunidades, más equidad,","With more opportunities, more equity,","503",NA
"mejor calidad de vida y un entorno seguro y de bienestar para todos.","better quality of life and a safe and wellbeing environment for all.","504",NA
"Con más empresas, más trabajo, más inversiones en carreteras, educación y salud, más comercio con el mundo,","With more businesses, more jobs, more investments in roads, education and health, more trade with the world,","408",NA
"más responsabilidad en el gobierno y más eficiencia en las empresas estatales.","more accountability in government and more efficiency in state-owned enterprises.","303",NA
"Y sin corrupción,","And without corruption,","304",NA
"sin contaminación ambiental,","environmental pollution,","501",NA
"ni privilegios injustos que pagamos todos.","or unfair privileges that we all pay for.","304",NA
"Realmente lo merecemos.","We really deserve it.","601.1",NA
"Por eso quiero ser presidente, porque estoy convencido que este país puede y debe ser mejor,","That is why I want to be president, because I am convinced that this country can and must be better,","305.2",NA
"porque sé que con esfuerzo y compromiso podemos hacer grandes cosas.","because I know that with effort and commitment we can do great things.","305.2",NA
"No voy a hacer promesas.","I will not make any promises.","305.2",NA
"No voy a crear falsas expectativas ni a ofrecer regalos.","I will not create false expectations or offer gifts.","305.2",NA
"Lo que ofrezco es trabajar, estar presente, ser responsable y liderar un equipo de hombres y mujeres que comparten mi interés","What I offer is to work, to be present, to be responsible and to lead a team of men and women who share my interest","305.2",NA
"y mi ilusión de crear las bases de la Costa Rica del Nuevo Centenario.","and my illusion of creating the foundations of the Costa Rica of the New Centenary.","305.2",NA
"Queremos un Gobierno de Reconstrucción Nacional porque sabemos que tenemos bases valiosas y resistentes.","We want a Government of National Reconstruction because we know that we have valuable and resilient bases.","305.1",NA
"Pero debemos arreglar y modernizar la construcción de un país que nos haga más prósperos y más seguros.","But we must fix and modernize to build a country that makes us more prosperous and more secure.","411",NA
"Por eso queremos trabajar en cinco pilares fundamentales que nos permitirán avanzar con muchos temas importantes para el país: Espiritualidad,","That is why we want to work on five fundamental pillars that will allow us to move forward with many important issues for the country: Spirituality,","606.1",NA
"Educación,","Education,","506",NA
"Economía,","Economy,","408",NA
"Salud,","Health,","504",NA
"y Seguridad","and Security.","605.1",NA
"Asimismo, vemos en la Declaración Universal de Derechos Humanos y la Carta de la Tierra los principios para una sociedad más justa y respetuosa de la riqueza natural del país.","Likewise, we see in the Universal Declaration of Human Rights and the Earth Charter the principles for a more just society that respects the country's natural wealth.","501",NA
"Sobre estos, nuestro compromiso central es Gobernar en Serio.","On these, our central commitment is to Govern Seriously.","305.1",NA
"Gobernar en Serio significa tomar las decisiones más complicadas, las que ningún otro partido político se ha atrevido.","To govern seriously means to make the most complicated decisions, those that no other political party has dared.","305.3",NA
"Gobernar en Serio significa gobernar para la gente, no para grupos de interés, ni para mis ministros o mis amigos, ni con intereses politiqueros.","To govern seriously means to govern for the people, not for interest groups, not for my ministers or my friends, not for political interests.","304",NA
"Gobernar en Serio significa trabajar para construir un mejor país en nuestros cuatro años de gobierno","To govern seriously means to work to build a better country in our four years of government","305.1",NA
