"text","text_en","cmp_code","eu_code"
"Presentarse ante los costarricenses como aspirante a la Presidencia de la República es, al mismo tiempo, un inmenso honor y una enorme responsabilidad.","To stand before the Costa Rican people as a candidate for the Presidency of the Republic is, at the same time, an immense honor and an enormous responsibility.","305.2",NA
"El honor me lo han hecho quienes militan en mi partido, al crear las condiciones para que este ciudadano, cuya principal credencial política es la vocación al servicio público, sea el candidato presidencial de una agrupación de tantos logros y méritos históricos.","I have been honored by the members of my party, who have created the conditions for this citizen, whose main political credential is his vocation for public service, to be the presidential candidate of a group with so many historical achievements and merits.","305.1",NA
"La responsabilidad,  la asumo ante todos los costarricenses.","I assume responsibility before all Costa Ricans.","305.2",NA
"Tengo plena conciencia de que el momento que vivimos exige de nosotros, de todos nosotros, lo mejor que podamos darle a nuestra querida patria.","I am fully aware that the moment we are living in demands from us, from all of us, the best we can give to our beloved homeland.","606.1",NA
"Todavía sentimos las réplicas de una de las mayores crisis económicas que ha experimentado la Humanidad.","We are still feeling the aftershocks of one of the greatest economic crises ever experienced by mankind.","408",NA
"La salud de nuestra economía no acaba de recuperarse, y arrastra desde hace varias décadas desequilibrios que se han venido profundizando, y que afectan severamente al tejido social.","The health of our economy has not yet recovered, and has been dragging along imbalances that have been deepening for several decades, severely affecting the social fabric.","408",NA
"Pero, sobre todo, nuestra salud política, nuestra fe en esa democracia de la que por tanto tiempo nos hemos sentido orgullosos, ha comenzado a debilitarse en una parte importante de la población.","But, above all, our political health, our faith in that democracy of which we have been proud for so long, has begun to weaken in an important part of the population.","202.1",NA
"Eso debe llamarnos a la mayor alarma.","This should cause us to be alarmed.","202.1",NA
"El Estado no ha sido capaz de responder con firmeza y claridad a las demandas de la ciudadanía","The State has not been able to respond firmly and clearly to the demands of the citizenry","305.3",NA
"y, peor aún, está dejando escapar valiosas posibilidades de realizar el verdadero potencial de los costarricenses.","and, worse yet, is missing valuable opportunities to realize the true potential of Costa Ricans.","305.1",NA
"Se han hecho esfuerzos meritorios, sin la menor duda, pero han sido insuficientes y no siempre bien articulados unos con otros.","There have been meritorious efforts, without the slightest doubt, but they have been insufficient and not always well articulated with each other.","305.1",NA
"Es necesario recuperar una visión panorámica del desarrollo, definir metas precisas y gestionar con determinación los instrumentos de que disponemos para alcanzarlas.","It is necessary to recover a panoramic vision of development, to define precise goals and to manage with determination the instruments available to achieve them.","305.3",NA
"Ello requiere, entre otras cosas, devolverle a la planificación el rol central que debe desempeñar en un Estado moderno.","This requires, among other things, restoring to planning the central role it should play in a modern state.","404",NA
"El documento que hoy pongo en sus manos es un paso en esa dirección.","The document I put in your hands today is a step in that direction.","404",NA
"Resume el valioso esfuerzo intelectual de muchas personas que generosamente han aportado su tiempo y sus ideas.","It summarizes the valuable intellectual effort of many people who have generously contributed their time and ideas.","202.1",NA
"Expresa con claridad cuáles serán mis prioridades como Presidente de la República.","It clearly expresses what my priorities will be as President of the Republic.","305.2",NA
"Plantea temas que sin duda serán enriquecidos en el debate electoral, social y parlamentario, como debe ser en una democracia.","It raises issues that will undoubtedly be enriched in the electoral, social and parliamentary debate, as it should be in a democracy.","202.1",NA
"Le invito a leerlo, a comentarlo y, como lo he hecho desde el inicio de mi campaña, a hacernos llegar sus sugerencias.","I invite you to read it, to comment on it and, as I have done since the beginning of my campaign, to send us your suggestions.","202.1",NA
"Construyamos juntos una visión renovada de la Costa Rica que queremos para las próximas generaciones.","Let's build together a renewed vision of the Costa Rica we want for the next generations.","606.1",NA
"INTRODUCCIÓN","INTRODUCTION","H",NA
"Alcanzar una mejor calidad de vida para los y las costarricenses","Achieving a better quality of life for Costa Ricans and","504",NA
"y avanzar hacia una sociedad integrada por las oportunidades y la inclusión social, son los derroteros que nos proponemos seguir en el período 2014-2018.","moving towards a society integrated by opportunities and social inclusion, are the paths we intend to follow in the 2014-2018 period.","503",NA
"Para ello, el crecimiento económico sostenido con equidad social será el ﬁn primordial de la acción del gobierno.","To this end, sustained economic growth with social equity will be the primary goal of the government's actions.","410",NA
"Para alcanzar esta aspiración hemos de enfrentar al menos tres grandes retos:","To achieve this aspiration, we must face at least three major challenges:","410",NA
"1. El reto de la gobernabilidad que implica transformación del Estado,  para atender las demandas de la sociedad, que obligan a mayor transparencia, eficacia","1. The challenge of governance, which implies the transformation of the State, to meet the demands of society, which require greater transparency, efficiency and effectiveness.","304",NA
"y, sobre todo, rendición de cuentas del sector público.","and, above all, accountability of the public sector.","304",NA
"2. El reto de la equidad, el acceso a las oportunidades y el disfrute a la  modernidad  de más de la mitad de la población que, por una u otra razón, no ha podido acceder al nuevo mundo tecnológico y de aprendizaje e innovación en que vivimos, ni disfruta de los beneficios del crecimiento económico.","2. The challenge of equity, access to opportunities and the enjoyment of modernity for more than half of the population that, for one reason or another, has not been able to access the new world of technology, learning and innovation in which we live, nor enjoy the benefits of economic growth.","503",NA
"3. El reto del crecimiento económico y de la productividad,  que implica valorizar la inversión  realizada","3. The challenge of economic growth and productivity, which implies valuing the investment made.","410",NA
"y dar cabida a nuevos encadenamientos y nuevas industrias, capaces de aumentar la productividad de la sociedad como un todo y, con ello, mejorar su calidad de vida.","and to make room for new linkages and new industries, capable of increasing the productivity of society as a whole and, thus, improving its quality of life.","410",NA
"El fortalecimiento de la identidad nacional","The strengthening of national identity","601.1",NA
"y las expresiones regionales de cultura e identidad son también centrales en la propuesta de gobierno.","and regional expressions of culture and identity are also central to the government's proposal.","607.1",NA
"La aspiración consiste  entonces en lograr ciudadanos con una amplia capacidad para disfrutar de su calidad de vida, en un país que profundiza la democracia y los derechos de acceder a la ciencia, la riqueza productiva y la cultura.","The aspiration is then to achieve citizens with a broad capacity to enjoy their quality of life, in a country that deepens democracy and the rights of access to science, productive wealth and culture.","202.1",NA
"Una sociedad integrada por las oportunidades, más próspera y sostenible, requiere un Estado regulador de los procesos sociales y económicos de mercado, más eficaz y cercano al ciudadano;","A society integrated by opportunities, more prosperous and sustainable, requires a State that regulates social and economic market processes, more efficient and closer to citizens;","403",NA
"un gobierno agente y gestor de procesos de cambio, promotor del desarrollo y de la producción con adecuados mecanismos de distribución de la riqueza.","a government that is an agent and manager of change processes, a promoter of development and production with adequate mechanisms for the distribution of wealth.","403",NA
"El Estado debe sostener y fortalecer nuestra competitividad internacional,  y con ello fomentar la creación de nuevos empleos e incrementar las empresas y el valor agregado nacional de la producción.","The State must sustain and strengthen our international competitiveness, thereby fostering the creation of new jobs and increasing the number of companies and the national added value of production.","403",NA
"En lo inmediato, estos retos se abordarán desde ocho iniciativas estratégicas:","In the immediate term, these challenges will be addressed through eight strategic initiatives:","408",NA
"nueve reformas legales para flexibilizar la gestión pública,","nine legal reforms to make public management more flexible,","303",NA
"un ajuste fiscal para fortalecer las finanzas del Estado,","a fiscal adjustment to strengthen the State's finances,","414",NA
"un plan especial de empleo,","a special employment plan,","701",NA
"un programa de obras públicas enfocado en siete carreteras,","a public works program focused on seven highways,","411",NA
"un aumento en la producción de energía limpia,","an increase in the production of clean energy,","416.2",NA
"el fortalecimiento de la CCSS","the strengthening of the CCSS","504",NA
"y una reforma educativa.","and an educational reform.","506",NA
"Nuestro programa se desglosa entonces en tres grandes retos, todos interrelacionados entre sí:     El de la gobernabilidad democrática","Our program can be broken down into three major challenges, all of which are interrelated: democratic governance","202.1",NA
"El de la equidad y la cohesión social",", equity and social cohesion, and","503",NA
"El del crecimiento económico","economic growth.","410",NA
"Estos retos tienen la transversalidad de temas tan importantes como la protección ambiental","These challenges include such important cross-cutting issues as environmental protection","501",NA
"las políticas públicas de género y de juventud,",", gender and youth policies,","503",NA
"así como de las  personas con capacidades especiales.","and policies for people with special needs.","503",NA
"Es evidente que la enorme tarea de llevar a buen puerto los cambios propuestos no puede ser el trabajo de un solo partido ni de un Poder Ejecutivo aislado en las limitaciones de sus competencias.","It is clear that the enormous task of bringing the proposed changes to fruition cannot be the work of a single party or of an Executive Branch isolated in the limitations of its powers.","202.1",NA
"Solo mediante la concertación, la discusión transparente y la disposición a incluir diversas ideas y voluntades, sin importar su proveniencia, podremos tener éxito en las complejas tareas de","Only through consensus, transparent discussion and the willingness to include diverse ideas and wills, regardless of their origin, will we be able to succeed in the complex tasks of","202.1",NA
"transformar el Estado,","transforming the State,","303",NA
"abrir oportunidades para todos","opening opportunities for all","503",NA
"y continuar con nuestro crecimiento económico.","and continuing our economic growth.","410",NA
"Nos proponemos hacer de la negociación, la inclusión y la búsqueda de concertaciones, el estilo que defina nuestra manera de gobernar.","We intend to make negotiation, inclusion and the search for consensus, the style that defines our way of governing.","202.1",NA
"A continuación se exponen los planteamientos principales que proponemos en torno a cada uno de esos retos.","The following are the main approaches we propose for each of these challenges.","000",NA
"1. EL RETO DE LA GOBERNABILIDAD","1. THE CHALLENGE OF GOVERNANCE","H",NA
"Los problemas de gobernabilidad y del sistema político en Costa Rica están en el centro de  atención de la opinión pública, de la prensa y sobre todo de intelectuales y  líderes sociales.","The problems of governance and the political system in Costa Rica are at the center of attention of public opinion, the press and especially intellectuals and social leaders.","202.1",NA
"Quienes viven el problema desde la administración pública lo experimentan como un fenómeno creciente de  frustración, en el  que cada vez son necesarios más esfuerzos burocráticos y de procedimiento para lograr objetivos que se dilatan en el tiempo y ponen a prueba la paciencia de la ciudadanía y la credibilidad del gobernante.","Those who experience the problem from the public administration experience it as a growing phenomenon of frustration, in which more and more bureaucratic and procedural efforts are necessary to achieve objectives that are delayed over time and test the patience of the citizens and the credibility of the ruler.","202.1",NA
"La planificación de la acción pública y las respuestas al ciudadano, en estas circunstancias, se vuelven inciertas y cargadas de riesgo.","In these circumstances, public action planning and responses to citizens become uncertain and fraught with risk.","202.1",NA
"La naturaleza de esta crisis es muy compleja.","The nature of this crisis is very complex.","202.1",NA
"Trasciende la esfera de lo jurídico y tiene que ver  con procesos profundos de orden económico, social y cultural.","It transcends the legal sphere and has to do with profound economic, social and cultural processes.","202.1",NA
"En primera instancia, nuestra estructura económica se ha adaptado a las demandas y condiciones competitivas del mercado mundial, abriéndose a la circulación de factores de la producción, servicios, mercancías,  tecnología, y desconfigurando el mercado interno.","In the first instance, our economic structure has adapted to the demands and competitive conditions of the world market, opening up to the circulation of factors of production, services, merchandise, technology, and deconfiguring the domestic market.","406",NA
"Estas transformaciones trajeron aparejados cambios en  todas las esferas de la vida, en la  cultura, en la estructura social y en la  vida política.","These transformations brought about changes in all spheres of life, in culture, in the social structure and in political life.","406",NA
"Sectores y ramas tradicionales de la economía perdieron importancia relativa","Traditional sectors and branches of the economy have lost relative importance","406",NA
"La agricultura y la ganadería, que aún en 1982 aportaban  el 24% del PIB, hoy aportan un poco más del 9%","Agriculture and livestock, which in 1982 still contributed 24% of GDP, now contribute just over 9%","703.1",NA
"La población urbana hoy es el 70% del total nacional.","Urban population now accounts for 70% of the national total.","703.1",NA
"Costa Rica dejó de ser un país agrario y los servicios representan cerca del 40% del PIB.","Costa Rica is no longer an agrarian country and services account for nearly 40% of GDP.","703.1",NA
"Los viejos sectores primarios e industriales fueron sustituidos  por nuevos productos de exportación y nuevas empresas, la mayoría creadas por la inversión privada directa extranjera,  muchas de ellas parte de cadenas productivas internacionales.","The old primary and industrial sectors were replaced by new export products and new companies, most of them created by foreign direct private investment, many of them part of international production chains.","406",NA
"En su conjunto, el proceso favoreció el enriquecimiento relativo de la clase alta y media alta y mejoró notoriamente el ingreso per cápita, pero empeoró la distribución del ingreso y","As a whole, the process favored the relative enrichment of the upper and upper-middle classes and significantly improved per capita income, but worsened income distribution and","406",NA
"y profundizó la brecha social, lo que ha generado sentimientos de frustración y abandono en  amplios sectores sociales.","deepened the social gap, which has generated feelings of frustration and abandonment in broad social sectors.","503",NA
"Esto se agravó por las limitaciones impuestas al Estado al temor de  la hegemonía ideológica neoliberal, que le impedía seguir jugando el papel de intermediador en los conflictos de interés económico y  creador de mecanismos de equilibrio y movilidad social.","This was aggravated by the limitations imposed on the State by the fear of neoliberal ideological hegemony, which prevented it from continuing to play the role of mediator in conflicts of economic interest and creator of mechanisms of balance and social mobility.","403",NA
"Como un mal sustituto a la acción intermediadora y de regulación del Estado, se dio en las últimas décadas una verdadera avalancha de leyes e instituciones que, sin ningún respaldo presupuestario, creaban protecciones y derechos especiales para un sinnúmero de sectores de la población.","As a poor substitute for the intermediary and regulatory action of the State, in recent decades there has been a veritable avalanche of laws and institutions that, without any budgetary backing, have created special protections and rights for countless sectors of the population.","403",NA
"Lo único que se logró con ello fue aumentar las expectativas  y exacerbar la subsiguiente frustración.","The only thing this achieved was to raise expectations and exacerbate the subsequent frustration.","403",NA
"Los liderazgos formales e informales que expresaban el poder a nivel local y nacional se han visto disminuidos, bien por una generación de dirigentes políticos profesionales, surgidos de la burocracia  partidaria,  bien por la presión de nuevos movimientos sociales como los de mujeres, ambientalistas, discapacitados o  jóvenes radicales.","The formal and informal leaderships that expressed power at the local and national levels have been diminished, either by a generation of professional political leaders, emerged from the party bureaucracy, or by the pressure of new social movements such as those of women, environmentalists, the disabled or young radicals.","202.1",NA
"Como factor agravante  se ha presentado un fenómeno cultural, en particular entre los miembros de la clase media más educada y próspera, cual es el rechazo de la política formal, el desinterés por lo colectivo y la primacía de los intereses personales como única motivación.","An aggravating factor has been a cultural phenomenon, particularly among members of the more educated and prosperous middle class, which is the rejection of formal politics, disinterest in the collective and the primacy of personal interests as the only motivation.","202.1",NA
"Esta podría ser una razón por la cual  no surgen con claridad y abundancia nuevos actores políticos  que interpreten  eficazmente las nuevas necesidades e intereses de la comunidad.","This could be one reason why new political actors that effectively interpret the new needs and interests of the community do not emerge with clarity and abundance.","202.1",NA
"En este contexto de resentimiento y frustración de los  excluidos por la nueva dinámica económica, de cambios en la estructura social y de hondas transformaciones en la cultura política, colapsó el  sistema bipartidista surgido después de 1948,","In this context of resentment and frustration of those excluded by the new economic dynamics, changes in the social structure and profound transformations in the political culture, the two-party system that emerged after 1948 collapsed,","202.1",NA
"abatido por escándalos de corrupción que reforzaron la deslegitimación del sistema y minaron la credibilidad de los sectores políticos.","brought down by corruption scandals that reinforced the delegitimization of the system and undermined the credibility of the political sectors.","304",NA
"El vacío de representación, además de deteriorar la legitimidad,  ha creado espacios para la aparición de otras instituciones y otras formas que pretenden sustituir la política formal.","The vacuum of representation, in addition to deteriorating legitimacy, has created spaces for the emergence of other institutions and other forms that seek to replace formal politics.","202.1",NA
