"text","text_en","cmp_code","eu_code"
"Presentación","Presentation","H",NA
"No era mi intensión ser político y hasta el día de hoy no me considero como tal en el sentido tradicional del término, sino, más bien creo que soy uno más de ustedes, un costarricense comprometido cívicamente con mi país y, solidariamente, con mi prójimo.","It was not my intention to be a politician and to this day I do not consider myself as such in the traditional sense of the term, but rather, I believe that I am one more of you, a Costa Rican civically committed to my country and, in solidarity, to my fellow man.","305.2",NA
"El Fabricio Alvarado que ustedes han visto a lo largo de mi trayectoria pública, como periodista y como diputado, es el Fabricio Alvarado que hoy se atreve a pedirle su voto.","The Fabricio Alvarado that you have seen throughout my public career, as a journalist and as a congressman, is the Fabricio Alvarado that today dares to ask for your vote.","305.2",NA
"Lo que yo le garantizo con este plan de gobierno que hoy pongo en sus manos, es trabajo, esfuerzo y responsabilidad, sin corrupción y sin amagues políticos en pro del dinero y el poder.","What I guarantee you with this government plan that I put in your hands today, is work, effort and responsibility, without corruption and without political fakery in favor of money and power.","304",NA
"Cuando asumí la responsabilidad de servir a los demás desde una curul legislativa, ya traía una enorme carga por miles de costarricenses que conocí a lo largo y ancho de nuestro hermoso país y que venían a mí,","When I assumed the responsibility of serving others from a legislative seat, I already carried a huge burden for thousands of Costa Ricans I met throughout the length and breadth of our beautiful country and who came to me,","305.2",NA
"sobretodo en mi faceta de periodista, para descargar muchas de sus frustraciones.","especially in my role as a journalist, to unload many of their frustrations.","305.2",NA
"Algunas de ellas, a manera de denuncia, otras a guiso de desahogo, pero todas ellas muy cargadas de frustración, o casi podría decir de resignación, ante la ineficiencia de los aparatos estatales para tramitar y resolver sus hondas necesidades,","Some of them, by way of denunciation, others as an outlet, but all of them very loaded with frustration, or I could almost say resignation, at the inefficiency of the state apparatus to process and solve their deep needs,","202.1",NA
"o por qué no, de involucrarlos a ellos mismos en sus soluciones.","or why not, to involve them themselves in their solutions.","202.1",NA
"Entre relatos cansados de contarse y una fuerte esperanza por la intensión de los corazones buenos, de la ingenuidad juvenil, de la astucia costarricense y del coraje ancestral de nuestra sangre, desde siempre entendí que no era diputado para servirme y que no estaba solo, sino que muchos se veían reflejados en mí como esa voz que no debía callar, sino que con valentía e inteligencia debía representarlos de la mejor manera.","Between stories tired of being told and a strong hope for the intention of good hearts, youthful ingenuity, Costa Rican cunning and the ancestral courage of our blood, I always understood that I was not a congressman to serve me and that I was not alone, but that many saw themselves reflected in me as that voice that should not be silent, but with courage and intelligence should represent them in the best way.","305.2",NA
"Porque creo que esa es la empatía entre usted y yo….insisto: yo soy uno de los suyos.","Because I think that's the empathy between you and me....insisto: I am one of yours.","305.2",NA
"Estoy seguro que hemos avanzado, pero también estoy convencido que se ha quedado mucho por hacer.","I am sure that we have made progress, but I am also convinced that much remains to be done.","305.1",NA
"Hay tanto pendiente que no bastan 4 intensos años para cambiar el rumbo de un barco que por años lo dejaron navegar sin rumbo, en las turbulentas aguas de la improvisación y la incapacidad,","There is so much pending that 4 intense years are not enough to change the course of a ship that for years was left to sail aimlessly, in the turbulent waters of improvisation and incapacity,","305.1",NA
"o con golpes de timón intencionales, mas no convenientes, y por eso, hoy el sentir general es desalentador","or with intentional, but not convenient, steering strokes, and for this reason, the general feeling today is discouraging.","305.1",NA
"Estoy firmemente convencido que nuestro país puede dar el salto al desarrollo, y si no lo hemos logrado es porque hasta el día de hoy nos han gobernado políticos sin visión estratégica, sin interés y sin verdadera vocación de servicio,","I am firmly convinced that our country can make the leap to development, and if we have not achieved it, it is because until today we have been governed by politicians with no strategic vision, no interest and no true vocation of service,","305.2",NA
"que han venido al poder sólo a servirse a sí mismos y a dejar que todas las cosas sigan igual, como cuando llegaron","who have come to power only to serve themselves and to let all things remain the same, as they were when they came to power.","305.2",NA
"La palabra “cambio” siempre ha sido, sin duda, de la boca para afuera.","The word ""change"" has always been, without a doubt, a word of mouth.","305.2",NA
"Como ciudadano de nuestro gran país y como hombre de fe en los valores y principios que han configurado lo mejor del ser costarricense a lo largo de su historia,","As a citizen of our great country and as a man of faith in the values and principles that have shaped the best of being Costa Rican throughout its history,","603",NA
"llegué a la conclusión de que todos hemos fallado.","I came to the conclusion that we have all failed.","606.2",NA
"Los que sabían muy bien que hacían lo malo y que casi siempre quedan en la impunidad, por hacerlo sin contemplaciones ni remordimientos:","Those who knew very well that they were doing wrong and who almost always go unpunished, for doing it without contemplation or remorse:","606.2",NA
"pero también, los que nos percatamos de que algo andaba mal y no hicimos lo suficiente un poco antes, o no nos metimos, por nuestro conformismo, por dejar que las cosas sigan pasando como hasta el día de hoy, sin hacer nada al respecto, o muy poco.","but also, those of us who realized that something was wrong and did not do enough a little earlier, or did not get involved, because of our conformism, for letting things continue to happen as they are today, without doing anything about it, or very little.","606.2",NA
"Soy uno más de ustedes, un costarricense comprometido cívicamente con mi país y, solidariamente, con mi prójimo","I am one more of you, a Costa Rican civically committed to my country and, in solidarity, to my fellow man","305.2",NA
"Este plan de gobierno, desde su mismo título “Hagámoslo Juntos” es un llamado, no sólo a votar por mí para Presidente de la República y por nuestro equipo de trabajo para diputados, diputadas y personal responsable en algún área del próximo gobierno,","This government plan, from its very title ""Let's do it together"" is a call, not only to vote for me for President of the Republic and for our work team for deputies, deputies and responsible personnel in any area of the next government,","305.2",NA
"sino también “Hagámoslo Juntos” es un grito a la conciencia, un llamado a quitar la indiferencia y una forma de encarar a muchos que critican pero no hacen, y otros tantos que no hacen lo suficiente o sólo piensan en sus intereses mezquinos.","Together"" is also a cry to conscience, a call to remove indifference and a way to face many who criticize but do not do, and many others who do not do enough or only think of their own petty interests.","606.2",NA
"Estos aportes, se construyen a partir de un proceso de reflexión, investigación y análisis diario y profundo que inició, de forma sistemática, en mayo del 2014, con el inicio de mi gestión como diputado de la República.","These contributions are built from a process of reflection, research and daily and deep analysis that began, systematically, in May 2014, with the beginning of my term as Deputy of the Republic.","305.1",NA
"Adicionalmente,como es lo lógico y natural en un partido serio, también se ha nutrido de las experiencias e ideas de mucha gente valiosa que estuvo o está todavía militando en esta agrupación política,","Additionally, as is logical and natural in a serious party, it has also been nourished by the experiences and ideas of many valuable people who were or are still militating in this political grouping,","305.1",NA
