"text","text_en","cmp_code","eu_code"
"MENSAJE DEL CANDIDATO","CANDIDATE'S MESSAGE","H",NA
"MENSAJE DEL CANDIDATO A LA PRESIDENCIA DE LA REPÚBLICA DE COSTA RICA POR EL PARTIDO REPUBLICANO SOCIAL CRISTIANO","MESSAGE FROM THE CANDIDATE FOR THE PRESIDENCY OF THE REPUBLIC OF COSTA RICA FOR THE REPUBLICAN SOCIAL CHRISTIAN REPUBLICAN PARTY","H",NA
"Me complace mucho presentar este resumen del Programa de Gobierno elaborado con el conocimiento y la experiencia de un grupo de profesionales, conocedores de la realidad nacional,","I am very pleased to present this summary of the Government Program prepared with the knowledge and experience of a group of professionals, knowledgeable of the national reality,","704",NA
"quienes tuvieron presente que nuestro Partido, heredero histórico por derecho de la Doctrina Social de la Iglesia, está llamado a ser un partido solidario, inclusivo y justo con los más necesitados,","who had in mind that our Party, historical heir by right of the Social Doctrine of the Church, is called to be a party of solidarity, inclusive and fair with the most needy,","503",NA
"a promover el desarrollo económico del país con protección del ambiente","to promote the economic development of the country with environmental protection","416.2",NA
"y a proteger a la familia y a las personas, al amparo del marco constitucional y legal de nuestra nación.","and to protect the family and individuals, under the protection of the constitutional and legal framework of our nation.","203",NA
"Un valioso esfuerzo realizado durante un periodo aproximado de 13 meses.","A valuable effort made over a period of approximately 13 months.","000",NA
"Debemos trabajar incesantemente para que en Costa Rica las pensiones sean justas, con mínimos y máximos,","We must work tirelessly so that pensions in Costa Rica are fair, with minimums and maximums","504",NA
"que permitan una recompensa digna al trabajo realizado por años, sin causar desequilibrios financieros para el Estado, ni la pérdida de la paz social.","that allow a decent reward for the work done over the years, without causing financial imbalances for the State, or the loss of social peace.","504",NA
"En nuestras manos está la responsabilidad de proteger la vida desde su concepción, de ser congruentes con el Código de la Niñez y de la Adolescencia;","In our hands is the responsibility to protect life from conception, to be congruent with the Code of Childhood and Adolescence; so","603",NA
"por lo que el aborto no puede ser un derecho, pues una vida intrauterina no es parte del cuerpo de una mujer en etapa reproductiva,","abortion cannot be a right, because an intrauterine life is not part of the body of a woman in reproductive stage, it","603",NA
"no se puede arrancar como si fuera un apéndice, un dedo o un tumor.","cannot be ripped off as if it were an appendix, a finger or a tumor.","603",NA
"También, tenemos la responsabilidad de proteger el matrimonio, como nuestra doctrina lo reconoce: la unión de un hombre y una mujer.","We also have a responsibility to protect marriage, as our doctrine recognizes it: the union of one man and one woman.","603",NA
"El matrimonio produce un bien para todos los miembros de la sociedad,","Marriage produces a good for all members of society,","603",NA
"asegura el relevo generacional,","ensures the generational relay,","603",NA
"la educación de los hijos y su mejor inmersión en la sociedad;","the education of children and their better immersion in society,","603",NA
"sin irrespetar derechos y garantías civiles de las personas que opinen de manera distinta en este ámbito y en cualquier otro que genere debate democrático de ideas.","without disrespecting the civil rights and guarantees of people who have a different opinion in this area and in any other area that generates democratic debate of ideas.","201.2",NA
"Como demócratas y republicanos estamos llamados a defender y promover la Convención Americana de los Derechos Humanos","As Democrats and Republicans, we are called to defend and promote the American Convention on Human Rights","201.2",NA
"y a trabajar permanentemente por la creación de empleos dignos y decentes:","and to work permanently for the creation of decent and dignified jobs:","701",NA
"nuestro compromiso ineludible con la generación actual de jóvenes y de las futuras generaciones.","our inescapable commitment to the current generation of young people and future generations.","706",NA
"En nuestro Gobierno trabajaremos sin descanso para establecer el Nuevo Pacto Social con los jóvenes, mujeres, adultos mayores, las minorías y las etnias,","In our government we will work tirelessly to establish the New Social Pact with young people, women, senior citizens, minorities and ethnic groups,","706",NA
"materializado en la Ley de Arraigo, que integra educación, inversión, empleo, para potenciar, primordialmente, el desarrollo de las zonas menos favorecidas","materialized in the Law of Roots, which integrates education, investment, employment, to promote, primarily, the development of less favored areas","301",NA
"y promover trabajos en los lugares adonde se vive.","and promote jobs in the places where people live.","701",NA
"Un Nuevo Pacto Social que conduzca al país por el camino del progreso, el bienestar, la paz y la justicia social,","A New Social Pact that leads the country on the path of progress, welfare, peace and social justice,","503",NA
"y extienda un brazo solidario a los más necesitados, para que se eduquen, progresen y surjan, con ayudas transitorias y no dádivas permanentes que perpetúan la pobreza.","and extends an arm of solidarity to the most needy, so that they may be educated, progress and emerge, with transitory aid and not permanent handouts that perpetuate poverty.","503",NA
"La crisis de valores y la pobreza, especialmente la pobreza extrema, serán atendidas, desde el interior de la familia - considerada una sola unidad social","The crisis of values and poverty, especially extreme poverty, will be addressed from within the family - considered a single social unit -","603",NA
"con acciones institucionales coordinadas y no como ocurre ahora que cada institución atiende individualmente una parte de la familia y en ocasiones con evidente antagonismo entre ellas.","with coordinated institutional actions and not as it happens now, where each institution individually attends to a part of the family and sometimes with evident antagonism between them.","303",NA
"Debemos ayudar a los emprendedores, a los empresarios, comerciantes, industriales, para que los trámites interminables y la inseguridad jurídica, no los desanimen y/o dificulte su progreso;","We must help entrepreneurs, businessmen, traders, industrialists, so that endless procedures and legal uncertainty do not discourage them and/or hinder their progress;","402",NA
"sin olvidar a los agricultores, a los pescadores artesanales que no tienen facilidades de créditos","without forgetting farmers, artisanal fishermen who do not have credit facilities","703.1",NA
"y, sobre todo, acceso a la asesoría técnica necesaria para aumentar la eficiencia en sus ocupaciones, en sus proyectos.","and, above all, access to the necessary technical advice to increase efficiency in their occupations, in their projects.","703.1",NA
