"text","text_en","cmp_code","eu_code"
"Presentamos con orgullo nuestro Programa de Gobierno ""Soluciones para el Futuro.","We proudly present our Government Program ""Solutions for the Future.","305.1",NA
"Nuestros Compromisos con el Desarrollo Humano 1998-2002"".","Our Commitments to Human Development 1998-2002"".","305.1",NA
"Son nuestros compromisos, es decir, concebidos como la responsabilidad política y moral de cumplir en el ejercicio del Gobierno con las propuestas hechas en campaña.","These are our commitments, i.e., conceived as the political and moral responsibility to comply with the proposals made in the campaign during the government's term of office.","305.1",NA
"Pero también son soluciones: medidas concretas, simples, cuantificables y evaluables, para resolver problemas específicos.","But they are also solutions: concrete, simple, quantifiable and measurable measures to solve specific problems.","305.1",NA
"Nuestro objetivo político es promover el desarrollo humano de cada costarricense y de cada habitante de la república.","Our political objective is to promote the human development of every Costa Rican and every inhabitant of the republic.","504",NA
"Queremos conquistar mayores niveles de calidad de vida para cada uno de nosotros, tanto individual como colectivamente, como comunidad humana, histórica y geográficamente delimitada, que está integrada en la comunidad mundial.","We want to achieve higher standards of quality of life for each of us, both individually and collectively, as a human community, historically and geographically delimited, which is integrated into the world community.","504",NA
"Asumimos el desarrollo humano como una tarea con especiales desafíos en una época caracterizada por el cambio.","We see human development as a particularly challenging task in an era characterized by change.","504",NA
"Esos desafíos nos obligan a una reflexión sin descanso y a un análisis sin concesiones a la superficialidad.","These challenges oblige us to reflect on them relentlessly and to analyze them without concessions to superficiality.","504",NA
"El cambio cultural en curso ha hecho desaparecer ya muchas certezas del pasado.","The cultural change underway has already erased many of the certainties of the past.","503",NA
"Pero también ha puesto de manifiesto realidades inaceptables, como la pobreza, cuya superación es la condición misma de nuestra supervivencia como comunidad de hombres y mujeres libres en el próximo milenio.","But it has also revealed unacceptable realities, such as poverty, the overcoming of which is the very condition for our survival as a community of free men and women in the next millennium.","503",NA
"Sin embargo, no partimos de cero.","However, we are not starting from scratch.","305.1",NA
