country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
33,Spain,10,0,15/06/1977,197706,33220,Communist Party of Spain,PCE,20,NA,104,0,1994,NA,NA,9.27,0,NA,20,350,1,10,NA,258,3101,0,0,775,2713,0,388,388,388,0,0,12403,12403,1163,0,1163,388,0,775,1163,0,388,1163,2713,775,0,0,2326,0,1163,3488,388,0,388,0,388,775,1938,4651,6202,0,2713,0,388,0,388,1938,775,1163,775,0,7752,0,10853,2326,2713,4264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13953,4264,388,10853,388,2025a,VVUNDW
33,Spain,10,0,15/06/1977,197706,33320,Spanish Socialist Workers’ Party,PSOE,30,NA,104,0,1994,NA,NA,30348,0,NA,118,350,1,10,NA,281,1423,1068,0,1779,2135,712,712,3915,3203,0,0,11388,8185,2491,0,4626,0,7117,3915,2135,356,1068,356,0,0,712,0,3559,0,356,356,0,356,356,0,0,1068,3559,4982,8541,0,356,0,0,356,0,1068,0,1423,712,0,4982,0,1779,356,712,7829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9253,356,712,13523,1423,2025a,CAFE6R
33,Spain,10,0,15/06/1977,197706,33430,Union of the Democratic Centre/Centrist Bloc,UCD,40,NA,104,0,1994,NA,NA,34829,0,NA,165,350,1,10,NA,213,0,3286,0,0,1408,0,3286,5164,1408,3756,0,9.39,3286,2347,0,469,939,7981,0,939,469,469,469,469,0,469,0,3286,0,1878,0,1408,0,5634,0,1408,1878,1408,6103,9.39,0,2347,0,469,0,3286,0,3756,469,0,0,2817,0,2817,1408,3756,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-469,2347,6103,15493,3286,2025a,NVYU5M
33,Spain,10,0,15/06/1977,197706,33610,Popular Alliance,AP,60,NA,998,998,NA,NA,NA,8417,0,NA,16,350,3,10,NA,116,0,0,0,0,0,0,0,862,0,0,0,2586,0,0,0,1724,0,4.31,0,0,3448,5172,3448,0,0,0,0,5172,0,0,6034,0,0,11207,0,0,0,0,2586,18103,0,1724,0,0,0,6034,0,12069,0,0,0,4.31,0,5172,862,1724,3448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12069,3448,14655,20.69,0,2025a,BAWT83
33,Spain,10,0,15/06/1977,197706,33901,Basque Left,EE,90,NA,998,998,NA,NA,NA,0.34,0,NA,1,350,3,10,NA,383,6527,522,0,2872,261,2611,522,1305,4.7,261,0,4178,3916,522,0,18799,0,2.35,0,261,0,783,1044,0,783,0,261,5744,0,2611,2611,0,0,783,261,261,4961,0,2872,5222,0,6527,0,0,3394,0,783,0,261,1567,0,6789,0,0,261,522,2089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23499,1044,783,8094,3133,2025a,74CMWM
33,Spain,10,0,15/06/1977,197706,33902,Basque Nationalist Party,PNV/EAJ,90,NA,104,0,1994,NA,NA,1703,0,NA,8,350,1,10,NA,84,1.19,0,0,0,0,0,0,0,1.19,0,0,11905,20238,1.19,0,21429,0,1.19,1.19,0,0,0,0,0,1.19,0,0,3571,0,1.19,1.19,0,0,0,0,0,2381,1.19,2381,8333,0,3571,0,0,0,0,0,1.19,0,8333,0,2381,0,1.19,0,1.19,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20238,0,0,10714,0,2025a,J972VN
33,Spain,10,0,15/06/1977,197706,33904,Aragonese Regionalist Party,PAR,90,NA,998,998,NA,NA,NA,0.21,0,NA,1,350,3,10,NA,1156,2595,0.26,0,173,173,346,87,433,1125,87,346,3893,8304,2768,0,5796,0,5796,173,173,952,1557,2768,8391,346,173,87,2768,0,5796,10121,346,0.26,779,0,1817,1817,3287,1557,6488,0,3.72,0,865,0,2422,0,2422,1038,87,0,519,0,2855,1038,779,2422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14879,11505,1.73,8045,433,2025a,L9LDBW
33,Spain,10,0,15/06/1977,197706,33905,Catalan Republican Left,ERC,90,NA,104,0,1994,NA,NA,756,0,NA,1,350,1,10,NA,106,3774,0,0,0,0,0,0,0,0,943,0,3774,7547,2.83,0,11321,0,0,0,0,0,943,1887,1887,0,0,0,1887,0,2.83,2.83,2.83,0,0,0,0,2.83,2.83,6604,9434,0,4717,0,0,943,0,3774,943,0,2.83,0,8491,0,6604,0,943,3774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28302,6604,0,16038,0,2025a,3EGRAU
33,Spain,10,0,15/06/1977,197706,33906,Andalusian Party,PA,90,NA,998,998,NA,NA,NA,0.01,1,NA,1,350,3,10,NA,455,0,1099,0,0,879,659,659,2637,5275,0,1099,2637,5275,0,0.44,8132,0,12088,659,0,879,2198,4176,2857,1538,879,0,1978,0,6593,4615,0,659,0,0,0.44,3516,879,1758,9011,0,3956,0,0,0,0,659,2857,0,1099,0,1099,0,1978,2198,879,1758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22418,7033,879,10769,1319,2025a,2P12PD
33,Spain,10,0,01/03/1979,197903,33220,Communist Party of Spain,PCE,20,NA,104,0,1994,NA,NA,10797,0,NA,23,350,1,10,NA,608,3289,822,0,493,2303,987,164,1316,822,0,0,4.77,8388,3783,0,5757,493,493,164,0,0,822,1151,1.48,0,0,0,3289,0,493,2303,658,493,0,0,0,2796,5099,1809,7237,0,5263,0,822,0,0,1645,2303,493,329,0,8717,8059,164,0,3947,6579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21053,3289,0,9046,1151,2025a,K6CJC1
