"text","text_en","cmp_code","eu_code"
"Reforma del Estado con redefinicion de roles y funciones efectivamente cumplidas por el Estado Nacional y por los de responsabilidad provincial, evitando la duplicidad funcional y de recursos.","Reform of the State with redefinition of roles and functions effectively fulfilled by the National State and by those of provincial responsibility, avoiding functional and resource duplication.","301",NA
"> Democracia de base municipal y federalismo con contenido regional.","> Democracy at the municipal level and federalism with regional content.","301",NA
"Municipalizacion de políticas públicas.","Municipalization of public policies.","301",NA
"Descentralizacion en el organo de la democracia más proximo al ciudadano""","Decentralization in the organ of democracy closest to the citizen"".","202.1",NA
"Avance en la regionalización mediante acuerdos interprovinciales e intermunicipales que fortalezcan las identidades culturales y dinamicen las economías regionales.","Advance regionalization through interprovincial and intermunicipal agreements that strengthen cultural identities and boost regional economies.","301",NA
"Recreacion de la seguridad jurídica.","Recreation of legal certainty.","605.1",NA
"Reformulacion del Consejo de la Magistratura y creaci6n de la Escuela Judicial para mejorar la seleccion y formaci6n de jueces.","Reformulation of the Judicial Council and creation of the Judicial School to improve the selection and training of judges.","303",NA
"Lucha frontal y total contra la corrupci6n y el delito.","Frontal and total fight against corruption and crime.","304",NA
"Aplicacion estricta de la ley y agilizaci6n de los procedimientos penales.","Strict application of the law and streamlining of criminal proceedings.","605.1",NA
"Reforma del régimen de seguridad interior para perfeccionar e integrar el trabajo de las distintas jurisdicciones.","Reform of the internal security regime to improve and integrate the work of the different jurisdictions.","605.1",NA
"Proteccion de usuarios y consumidores.","User and consumer protection.","403",NA
"Aplicación estricta de la ley de Defensa de la Competencia y vigencia de reguladores y regulaciones transparentes en el marco de las prestaciones de los servicios públicos.","Strict application of the Antitrust Law and enforcement of transparent regulators and regulations within the framework of public services.","403",NA
"Tarifa social que asegure los servicios básicos.","Social tariffs that ensure basic services.","503",NA
"La Política: Sistema de decisión e instrumento del cambio social.","Politics: Decision-making system and instrument of social change.","305.1",NA
"Profunda reforma electoral que establezca elecciones primarias obligatorias, eliminacion de las listas sábanas, instituci6n del sistEma electivo uninominal por circunscripci6n.","Profound electoral reform that establishes obligatory primary elections, elimination of the sábanas lists, institution of the uninominal electoral system by constituency.","202.1",NA
"Sistema de transparencia definitivo para el financiamiento de los partidos políticos.","Definitive transparency system for the financing of political parties.","202.1",NA
"La Economía: Herramienta para definir un proyecto de país y ciudad.","The Economy: Tool to define a country and city project.","H",NA
"Reconstrucción de la piramide fiscal.","Reconstruction of the fiscal pyramid.","503",NA
"No hay Nación posible sin un Estado que recaude con eficacia.","No Nation is possible without a State that collects effectively.","303",NA
