"text","text_en","cmp_code","eu_code"
"EUSKADIREN AHOTSA.","EUSKADIREN AHOTSA.",NA,NA
"CON VOZ PROPIA.","WITH ITS OWN VOICE.",NA,NA
"ÍNDICE","INDEX",NA,NA
"1.","1.",NA,NA
"ANÁLISIS DE LA XIV LEGISLATURA (2019-2023) .......................................................................................................................................................... 3 2.","ANALYSIS OF THE XIV LEGISLATURE (2019-2023) .......................................................................................................................................................... 3 2.",NA,NA
"AL LADO DE LAS PERSONAS Y SU BIENESTAR.","TO THE PEOPLE AND THEIR WELL-BEING.",NA,NA
"MÁS AUTOGOBIERNO, MÁS EUROPA Y AGENDA 2030 ................................................................ 5 3.","MORE SELF-GOVERNMENT, MORE EUROPE AND AGENDA 2030 ................................................................ 5 3.",NA,NA
"LIDERAR DERECHOS Y LIBERTADES ............................................................................................................................................................................... 7 4.","LEADING RIGHTS AND FREEDOMS ............................................................................................................................................................................... 7 4.",NA,NA
"ÉTICA EN LA ACCIÓN PÚBLICA ........................................................................................................................................................................................ 12 5.","ETHICS IN PUBLIC ACTION ........................................................................................................................................................................................ 12 5.",NA,NA
"HORIZONTE ECONÓMICO: FONDOS EUROPEOS Y FISCALIDAD JUSTA Y REDISTRIBUTIVA ..................................................................................... 14 6.","ECONOMIC HORIZON: EUROPEAN FUNDS AND FAIR AND REDISTRIBUTIVE TAXATION ..................................................................................... 14 6.",NA,NA
"LUCHA CONTRA EL CAMBIO CLIMÁTICO, SOSTENIBILIDAD AMBIENTAL Y ENERGÉTICA ........................................................................................ 19 7.","COMBATING CLIMATE CHANGE, ENVIRONMENTAL AND ENERGY SUSTAINABILITY ........................................................................................ 19 7.",NA,NA
"IGUALDAD .......................................................................................................................................................................................................................... 26 8.","EQUALITY .......................................................................................................................................................................................................................... 26 8.",NA,NA
"EL EMPLEO, NUEVOS RETOS .......................................................................................................................................................................................... 28 9.","EMPLOYMENT, NEW CHALLENGES .......................................................................................................................................................................................... 28 9.",NA,NA
