"text","text_en","cmp_code","eu_code"
"BASES PROGRAMATICAS TERCER GOBIERNO NACIONAL DEL FRENTE AMPLIO 2015-2020","PROGRAMMATIC BASES OF THE THIRD NATIONAL GOVERNMENT OF THE BROAD FRONT 2015-2020","H",NA
"PrEsENTaCIÓN","PrEsENTaTION","H",NA
"La victoria electoral del Frente Amplio en las elecciones del 2004 y su consecuente acceso al gobierno  nacional  no  fue  un  simple  recambio  en  la  fuerza  política  que  lo  ejerce.","The electoral victory of the Frente Amplio in the 2004 elections and its consequent access to the national government was not a simple change in the political force in power.","305.1",NA
"Resultó  un  hecho  de  profunda  trascendencia  histórica, un  punto  de  inflexión   con  las  políticas  conservadoras  implantadas  y sostenidas desde la alternancia o la coparticipación de los partidos tradicionales","It was an event of profound historical transcendence, a turning point with the conservative policies implemented and sustained from the alternation or co-participation of the traditional parties","305.1",NA
"y con las formas clientelares de ejercicio del poder.","and with the clientelistic forms of exercising power.","304",NA
"Recibimos el gobierno de un país con uno de los niveles de endeudamiento per cápita más altos del mundo, con un aparato productivo estancado, una economía extremadamente débil,","We received the government of a country with one of the highest per capita debt levels in the world, with a stagnant productive apparatus, an extremely weak economy,","408",NA
"con la más alta desocupación en décadas,","with the highest unemployment in decades,","701",NA
"y con los índices de pobreza e indigencia en los niveles más altos de  la  historia.","and with poverty and indigence rates at the highest levels in history.","503",NA
"Dos  quintos  de  la  población  se  encontraba  en  situación  de  pobreza  y  más  de  150.000  uruguayos estaban alcanzados por la indigencia.","Two-fifths of the population was living in poverty and more than 150,000 Uruguayans were indigent.","503",NA
"Desde su comienzo, las políticas del gobierno del Frente Amplio, presidido por el Cro. Tabaré Vázquez, significaron importantes cambios en todos los órdenes de la gestión pública, dirigidos a mejorar las condiciones de vida del pueblo uruguayo, en particular las de los sectores más vulnerables y desfavorecidos.","Since its inception, the policies of the Frente Amplio government, presided by Mr. Tabaré Vázquez, have meant important changes in all areas of public administration, aimed at improving the living conditions of the Uruguayan people, particularly those of the most vulnerable and disadvantaged sectors.","503",NA
"Sus resultados fueron rápidamente percibidos y valorados por los uruguayos,  lo que tuvo por consecuencia que en el siguiente acto electoral del 2009, los votantes volvieran a depositar sus esperanzas y su confianza en nuestra fuerza política, otorgándole el ejercicio de la Presidencia de la República al Cro. José Mujica y la mayoría de las bancas parlamentarias al Frente Amplio.","Its results were quickly perceived and valued by Uruguayans, which resulted in the following election in 2009, when voters once again placed their hopes and trust in our political force, granting the Presidency of the Republic to José Mujica and the majority of parliamentary seats to Frente Amplio.","305.1",NA
"En este segundo mandato se continuaron las líneas maestras de la gestión iniciada y se incorporaron nuevos  objetivos,","In this second mandate, the main lines of the administration were continued and new objectives were incorporated,","305.3",NA
"siempre  con  el  horizonte  del  desarrollo  de  las  capacidades  productivas  del  país,","always with a view to developing the country's productive capacities,","416.2",NA
"la sustancial mejora de las condiciones de vida de todos los uruguayos y uruguayas y","substantially improving the living conditions of all Uruguayan men and women, and","503",NA
"la ampliación de los  derechos  ciudadanos.","expanding citizens' rights.","201.2",NA
"Podríamos  hacer  una  larga  lista  de  logros  que  se  han  ido  alcanzando  durante  estos  dos  gobiernos  del Frente Amplio, pero nos conformaremos con mencionar algunos, los más relevantes, a modo de ejemplo:","We could make a long list of achievements that have been attained during these two Frente Amplio governments, but we will be satisfied with mentioning some of the most relevant ones, by way of example:","305.1",NA
"el  crecimiento  sostenido  y  a  tasas  inéditas  del  PBI,","the sustained and unprecedented growth of the GDP, the","410",NA
"el  aumento  real  de  salarios  y  pasividades, y  el  descenso  de  la  tasa  de  desempleo,  que  se  ubica  hoy  en  niveles  históricamente  bajos,  tan  bajos  como nunca antes desde que se realiza la medición.","real increase in salaries and pensions, and the decrease in the unemployment rate, which is now at historically low levels, as low as never before since the measurement has been carried out.","701",NA
"Las reformas sociales emprendidas muestran sus resultados en la notoria baja de la pobreza y la indigencia.","The social reforms undertaken show their results in the notorious drop in poverty and indigence.","503",NA
"Los  datos  hablan  por  sí  solos,  en  2004  un  39,9  de  los  uruguayos  y  uruguayas  vivía  en  condiciones de pobreza y el 4,7% en la pobreza extrema; en 2012 (según los datos del INE de abril de  2013)  los  números  revelan  un  notorio  descenso  de  la  población  pobre:  12,4%  de  las  personas y un mínimo del 0,5% en situación de indigencia que aún duele y exige ajustar los programas y acciones de gobierno.","The data speak for themselves, in 2004 39.9% of Uruguayans lived in poverty and 4.7% in extreme poverty; in 2012 (according to INE data of April 2013) the numbers reveal a notorious decrease in the poor population: 12.4% of people and a minimum of 0.5% in a situation of indigence that still hurts and requires adjusting government programs and actions.","503",NA
"No está al alcance de ningún gobierno dar respuesta inmediata a todas las preocupaciones y urgencias de la población, por más justas y necesarias que sean esas demandas.","It is not within the reach of any government to provide an immediate response to all the concerns and urgencies of the population, no matter how just and necessary these demands may be.","305.1",NA
"Pero la orientación y las políticas concretas  del  FA  han  hecho  posible  revertir  en  buena  parte  el  proceso  de  deterioro  y  retroceso  que  mostraba el Uruguay que recibimos.","But the orientation and concrete policies of the FA have made it possible to reverse, to a large extent, the process of deterioration and regression of the Uruguay we received.","305.1",NA
"Estas políticas permitieron grandes avances y permitirán avanzar aún más y en forma importante en la progresiva satisfacción de las necesidades de nuestro pueblo,","These policies have allowed great progress to be made and will allow us to advance even further and significantly in the progressive satisfaction of the needs of our people,","305.1",NA
"confirmando  como  seña  de  identidad  el  diálogo  permanente, el  reconocimiento de las organizaciones sociales y la prioridad por la creación de ámbitos de participación ciudadana.","confirming as a sign of identity the permanent dialogue, the recognition of social organizations and the priority given to the creation of areas for citizen participation.","202.1",NA
"Los consejos de salarios, los espacios de debate con la participación de una amplia diversidad de actores sindicales,  cooperativistas,  activistas  pro  derechos,  empresarios,  en  temas  estratégicos de  la  vida  nacional,  muestran  esta  disposición.","The wage councils, the spaces for debate with the participation of a wide diversity of union actors, cooperatives, pro-rights activists, businessmen, on strategic issues of national life, show this disposition.","701",NA
"El  impulso  a  los  cambios  culturales  hacia  la  justicia y  equidad  queda  en  evidencia  con  los  últimos  avances  legislativos  en  materia  de  derechos  vinculados  a mujeres, afrodescendientes,","The drive for cultural changes towards justice and equity is evidenced by the latest legislative advances in the area of women's rights, Afro-descendants, as","503",NA
"así como el debate abierto y revolucionario sobre el  matrimonio  igualitario  y  la  marihuana.","well as the open and revolutionary debate on equal marriage and marijuana.","705",NA
"De  cara  a  las  elecciones  a  realizarse  el  próximo  año,  el  programa  que  presentamos  en  este  documento  sintetiza el compromiso que asumimos frente a la ciudadanía.","In view of the elections to be held next year, the program presented in this document summarizes our commitment to the citizens.","305.1",NA
"Su elaboración es sopesada y meditada porque, reiteramos, la propuesta programática representa un compromiso de acción futura de gobierno; presenta las líneas a continuar y profundizar, así como las innovaciones que se requieren introducir.","Its preparation is considered and thoughtful because, we reiterate, the programmatic proposal represents a commitment to future government action; it presents the lines to be continued and deepened, as well as the innovations that need to be introduced.","305.1",NA
"Los frenteamplistas tenemos legítimo orgullo de la gestión y los logros de nuestros dos gobiernos.","We, the frenteamplistas, are legitimately proud of the management and achievements of our two governments.","305.1",NA
"Hay fundadas y notorias razones para valorar el camino recorrido y todos los avances obtenidos.","There are well-founded and notorious reasons to value the road traveled and all the progress achieved.","305.1",NA
"Pero el horizonte  al  que  nos  queremos  acercar  aún  presenta  importantes  desafíos  que  pretendemos  asumir.","But the horizon we want to approach still presents important challenges that we intend to take on.","305.1",NA
"Es por ello, que el recorrido de las páginas del documento presentará en cada área programática, los logros  alcanzados  y  los  desafíos  a  asumir, para  los  cuales  señalamos  objetivos  y  líneas  de  acción  a  desarrollar.","For this reason, the pages of this document will present, in each programmatic area, the achievements reached and the challenges to be taken on, for which we indicate objectives and lines of action to be developed.","305.1",NA
"Pretendemos para este futuro tercer gobierno del Frente Amplio, conducir al país por una senda nacional de desarrollo integral e integrador,","For this future third government of the Frente Amplio, we intend to lead the country along a national path of integral and integrating development,","305.1",NA
"sustentado en fuertes pilares que permitan avanzar en el  crecimiento  de  la  economía  con  sustentabilidad  e  igualdad,","based on strong pillars that will allow us to advance in the growth of the economy with sustainability and equality,","410",NA
"que  aporte  hacia  la  transformación  democrática del Estado y la sociedad,","that will contribute to the democratic transformation of the State and society,","202.1",NA
"y fortalezca su inserción en la región y en el mundo.","and strengthen its insertion in the region and in the world.","407",NA
"Las y los uruguayos  estamos  preocupados  por  asuntos  vinculados  a  nuestra  vida  cotidiana:  la  economía,  la  educación,  la  salud,  la  convivencia,  entre  otros; muchos  se  movilizan  para  ampliar  y  profundizar  sus  derechos.","Uruguayans are concerned about issues related to our daily lives: the economy, education, health, coexistence, among others; many are mobilizing to broaden and deepen their rights.","606.2",NA
"El  país  requiere  fortalecerse  en  sus  capacidades  productivas  y  tecnológicas,","The country needs to strengthen its productive and technological capabilities, as","411",NA
"así  como  continuar con la modernización del Estado.","well as to continue with the modernization of the State.","303",NA
"Así entonces, cada Capítulo propone un conjunto de áreas programáticas sobre los diversos escenarios del  quehacer  nacional,  del  vínculo  entre  la  gente  y  del  Uruguay  en  la  región  y  el  mundo;  incluyendo  el  amplio  abanico  de  políticas  públicas  en  las  que  -en  estos  8  años- el  Frente  Amplio  ha  consolidado  un recorrido.","Thus, each Chapter proposes a set of programmatic areas on the various scenarios of national affairs, the link between the people and Uruguay in the region and the world; including the wide range of public policies in which -in these 8 years- the Frente Amplio has consolidated a path.","305.1",NA
"Se presentan también, áreas novedosas de programa que vienen germinando desde la acción  de  gobierno  y  de  la  sociedad,","The program also presents new program areas that have been germinating from the action of government and society,","305.1",NA
"entre  ellas  y  a  modo  de  ejemplo,  se  puede  señalar:  la  inclusión  de las cuestiones de infraestructura, innovación tecnológica y matriz energética;","including, for example: the inclusion of infrastructure, technological innovation and energy matrix issues;","411",NA
"la urgencia por las políticas de sustentabilidad ambiental;","the urgency for environmental sustainability policies; the","501",NA
"la promoción de nuevas relaciones sociales a partir de la economía social;","promotion of new social relations based on the social economy;","405",NA
"el renovado impulso a las políticas sociales universales;","the renewed impetus to universal social policies;","504",NA
"el sistema de cuidados;","the care system;","504",NA
"las  políticas  de  convivencia  y  la  política  de  drogas.","coexistence policies and drug policy.","605.2",NA
"La  lucha  por  la  ampliación  de  los  derechos  de  la  diversidad sexual y de los afrodescendientes se incluyen en apartados específicos, por primera vez.","The struggle for the expansion of the rights of sexual diversity and Afro-descendants are included in specific sections for the first time.","705",NA
"Reconocemos al territorio como un espacio privilegiado de implantación de las políticas, ya que es la geografía  física,  humana  y  social,  con  sus  potencialidades,  recursos  e  historia  la  que  se  convierte  en  motor de desarrollo.","We recognize the territory as a privileged space for the implementation of policies, since it is the physical, human and social geography, with its potential, resources and history that becomes the engine of development.","301",NA
"El territorio, las coordinaciones regionales y la transversalización de las diversas acciones producen efectos sinérgicos que potencian los impactos esperados.","The territory, regional coordination and mainstreaming of the various actions produce synergistic effects that enhance the expected impacts.","301",NA
"Somos exigentes ante el compromiso con los cambios dirigidos a satisfacer las necesidades de las mayorías.","We are demanding in our commitment to changes aimed at satisfying the needs of the majority.","503",NA
"La realidad alienta nuestra convicción de que estamos en el camino correcto pero que resta mucho  por  hacer:","Reality encourages our conviction that we are on the right path but that much remains to be done: to","305.1",NA
"atender  aún  más  el  crecimiento  de  la  economía,","further address economic growth,","410",NA
"la  distribución  más  equitativa  del  ingreso y la riqueza,","a more equitable distribution of income and wealth,","503",NA
"la mejora de la calidad del empleo,","improved job quality,","701",NA
"la innovación, la productividad,","innovation, productivity, and the","411",NA
"y la potenciación de los bienes públicos.","enhancement of public goods.","408",NA
"Los cambios culturales orientados a fortalecer los valores de solidaridad y compromiso entre la gente para mejorar la convivencia ciudadana y los sentimientos de confianza y reciprocidad, representan también necesidades sentidas por la sociedad uruguaya.","Cultural changes aimed at strengthening the values of solidarity and commitment among people to improve citizen coexistence and feelings of trust and reciprocity also represent needs felt by Uruguayan society.","606.1",NA
"La búsqueda de los desaparecidos en la dictadura representa un desafío ineludible.","The search for those who disappeared during the dictatorship represents an inescapable challenge.","305.6",NA
"La coyuntura, que nos muestra un mundo globalizado y en crisis nos exige una combinación de audacia y  sensatez  en  los  justos  términos:  audacia  para  seguir  avanzando  en  el  camino  de  los  cambios  a  la  vez  que  sensatez  para  evitar  impaciencias,  pasos  en  falso  que  pongan  en  riesgo  lo  logrado,  que  es  mucho.","The current situation, which shows us a globalized world in crisis, demands a combination of audacity and good sense in the right terms: audacity to continue advancing along the path of change and good sense to avoid impatience and false steps that could jeopardize what has been achieved, which is a great deal.","408",NA
"Esta combinación sólo puede garantizarla nuestra fuerza política, que fue capaz de timonear la exitosa salida  de  la  peor  crisis  de  nuestra  historia  y  revertir  el  profundo  deterioro  en  el  que  recibió  al  país.","This combination can only be guaranteed by our political force, which was able to steer a successful exit from the worst crisis in our history and reverse the deep deterioration in which the country was received.","305.1",NA
"La propuesta programática expresa el acuerdo del conjunto de fuerzas que integran el Frente Amplio - movimiento de base y coalición de partidos- y a nuestro juicio cumple con esas condiciones.","The programmatic proposal expresses the agreement of all the forces that make up the Frente Amplio - grassroots movement and coalition of parties - and in our opinion it meets these conditions.","305.1",NA
"Convocamos a la ciudadanía, a todos los uruguayos y uruguayas que sientan y valoren que el Uruguay cambió para bien en esta última década con los gobiernos progresistas, a encolumnarse tras este Programa,  a  acompañarnos  en  esta  maravillosa  pero  titánica  tarea:  seguir  construyendo  un  Uruguay  productivo, sustentable y socialmente justo, con prosperidad, libertad y justicia social, capaz de ofrecerle  a  todos  sus  habitantes  un  futuro  alentador,  con  condiciones  de  vida  que  les  permitan  alcanzar su desarrollo personal.","We call on all Uruguayans who feel and value that Uruguay has changed for the better during the last decade with the progressive governments, to support this Program, to join us in this wonderful but titanic task: to continue building a productive, sustainable and socially just Uruguay, with prosperity, freedom and social justice, capable of offering all its inhabitants an encouraging future, with living conditions that allow them to achieve their personal development.","305.1",NA
"CaPITulO ICLAVES DE UNA VISIÓN DE DESARROLLO NACIONAL","KEYS TO A VISION FOR NATIONAL DEVELOPMENT","H",NA
"a. DEsarrOllO basaDO EN valores","a. value-based development","H",NA
"Los valores en los que se asienta una sociedad constituyen los pilares de la misma.","The values on which a society is based are its pillars.","606.1",NA
"Entonces ¿cuáles son los valores sustantivos que nos congregan como frenteamplistas, y particularmente nos convocan a la construcción de la visión del futuro Uruguay? ¿Qué valores son centrales para la sociedad? ¿Hacia dónde vamos?","So what are the substantive values that bring us together as frenteamplistas, and particularly summon us to the construction of the vision of the future Uruguay? What values are central to society? Where are we going?","606.1",NA
"Estas constituyen preguntas centrales para construir una visión de futuro; para efectuar una prospectiva de la imagen del desarrollo que aspiramos para nuestro país.","These are central questions to build a vision of the future; to make a prospective of the image of the development we aspire for our country.","606.1",NA
"El perfil del proceso de desarrollo, así como la propia sociedad en construcción, demandan valores relevantes.","The profile of the development process, as well as the society itself under construction, demand relevant values.","606.1",NA
"Ellos deben ajustar el camino y la visión o imagen objetivo a la cual nos orientamos.","They must adjust the path and the vision or target image to which we are oriented.","606.1",NA
"Una fuerza política debe construir valores, esencia final de cualquier forma de organización social.","A political force must build values, the ultimate essence of any form of social organization.","606.1",NA
