"text","text_en","cmp_code","eu_code"
"Consideraciones preliminaresEl documento que presentamos está articulado en cinco secciones, correspondientes respectivamente a las cinco líneas estratégicas Uruguay educado e integrado Uruguay próspero y solidario Uruguay libre y seguro Uruguay de futuro Uruguay integrado al mundoDado que este es un documento muy largo, hemos intentado incluir alguna  forma  de  dar una  idea  rápida  del  contenido de  cada  sección. Para  ello se  ha  usado una  herramienta  conocida  como  nube de  palabras. Estos gráficos, que  pueden tener distintas  formas  generales,  están constituidos por las palabras presentes en el  texto considerado, y el  tamaño de  cada  palabra  es proporcional  a  la  frecuencia  con que  la  misma  se  encuentra  en el  texto. Para  hacer estas  gráficas hemos empleado un programa  disponible  gratuitamente  en internet, llamado Wordle4. El programa  quita  aquellas palabras sin contenido semántico pero muy frecuentes (como, por ejemplo, de, por,  con, sin,  etc)  y el  gráfico final  da  una  idea  de  cuáles son los conceptos que  más importan en el  documento específico, ya que han merecido una mención más frecuente que los demás.A modo de ejemplo, mostramos a continuación la nube de palabras generada al someter todo este documento –demás de 105.000 palabras—a ese programa informático. Se observa ahí que la palabra central que describe nuestro programa, aquella que más se menciona, aquella que aparece con más frecuencia en los distintos objetivos y acciones, es la palabra Desarrollo, lo que es coherente con el espíritu que animó la redacción de este plan de trabajo. Otras palabras destacadas son Objetivo, País, Nacional y Política, lo que describe nuestra intención de poner la política al servicio del desarrollo nacional del país, a través de objetivos dentro de un sistema. Fácilmente pueden verse otras implicaciones a partir de la frecuencia con que las palabras se repiten.Es importante señalar aquí que desde el punto de vista de los conceptos, aparecen en lugar muy destacado Educación y Social. La razón es claramente que dentro del Partido Colorado y por la impronta que el batllismo le dio en el correr del tiempo, nuestra preocupación más profunda pasa por mejorar la calidad de vida de las personas, el componente social, y entendemos que el principal instrumento transformador de la realidad presente debe ser la educación. No renegamos por supuesto –ahí están las palabras que lo prueban—de considerar los derechos, las obligaciones, la seguridad, el ambiente, la tecnología, la vivienda, la salud, el trabajo, la investigación, la gestión y muchos otros conceptos. Pero nuestro centro es la educación como elemento transformador y esperamos que eso sea claro dentro del contexto de este documento.Cada sección se inicia con una nube de palabras de los conceptos más importantes exclusivamente dentro de esa sección. Obviamente, distintos conceptos tienen diferente peso cuando se los considera en un contexto más reducido, el texto correspondiente solo a la sección considerada. Esperamos que esta herramienta facilite la comprensión del texto.","Preliminary considerationsThe document we present is divided into five sections, corresponding respectively to the five lines estratégicas Uruguay educated and integrado Uruguay prosperous and solidario Uruguay free and seguro Uruguay of futuro Uruguay integrated to the worldSince this is a very long document, we have tried to include some way to give a quick idea of the content of each section. A tool known as a word cloud has been used for this purpose. These graphs, which can have different general shapes, are made up of the words present in the text under consideration, and the size of each word is proportional to the frequency with which it is found in the text. To make these graphs we have used a program freely available on the Internet, called Wordle4. The program removes those words without semantic content but very frequent (such as, for example, of, by, with, without, etc.) and the final graph gives an idea of which are the most important concepts in the specific document, since they have deserved a more frequent mention than the others.As an example, we show below the word cloud generated by submitting this entire document -more than 105,000 words- to this computer program. It can be seen that the central word describing our program, the one most frequently mentioned, the one that appears most frequently in the various objectives and actions, is the word Development, which is consistent with the spirit that animated the drafting of this work plan. Other prominent words are Objective, Country, National and Policy, which describes our intention to put policy at the service of the country's national development, through objectives within a system. Other implications can easily be seen from the frequency with which the words are repeated.It is important to note here that from the point of view of concepts, Education and Social appear very prominently. The reason is clearly that within the Colorado Party, and because of the stamp that Batllismo gave it over time, our deepest concern is to improve the quality of life of the people, the social component, and we understand that the main instrument for transforming the present reality must be education. Of course, we do not deny - there are the words to prove it - to consider rights, obligations, security, environment, technology, housing, health, work, research, management and many other concepts. But our focus is on education as a transformative element and we hope that is clear within the context of this document.each section begins with a word cloud of the most important concepts exclusively within that section. Obviously, different concepts have different weight when considered in a smaller context, the text corresponding only to the section under consideration. We hope that this tool will facilitate the understanding of the text.",NA,NA
"URUGUAY EDUCADO E INTEGRADO","URUGUAY EDUCATED AND INTEGRATED","H",NA
"Educación","Education","H",NA
"Políticas Sociales y Seguridad Social","Social Policies and Social Security","H",NA
"Vivienda","Housing","H",NA
"Salud","Health","H",NA
"Cultura","Culture","H",NA
"Deportes, Actividad Física y Recreación","Sports, Physical Activity and Recreation","H",NA
"Relaciones Laborales y Sindicalismo","Labor Relations and Unionism","H",NA
"El desarrollo social del Uruguay es un desafío,","Uruguay's social development is a challenge;","201.2",NA
