"text","text_en","cmp_code","eu_code"
"EL CAMINO DEL  PI","THE PATH OF PI","H",NA
"Transformar el crecimiento en desarrollo humano","Transforming growth into human development","H",NA
"Existen dos formas de entender y practicar la política.","There are two ways of understanding and practicing politics.","202.1",NA
"Una, la más común, es considerarla como la administración del poder soberano del Estado en una sociedad.","One, the most common, is to consider it as the administration of the sovereign power of the state in a society.","202.1",NA
"A esa concepción le corresponden programas partidarios detallados, precisos,","This conception corresponds to detailed, precise party programs,","305.1",NA
"donde se describe el modo en que, de llegar a triunfar o a compartir el poder, los partidos que los suscriben desarrollarán el gobierno.","describing the way in which the parties that subscribe to them will develop the government, should they triumph or share power.","305.1",NA
"No es una forma incorrecta de adelantar la gestión por venir,","This is not an incorrect way of anticipating the management to come,","305.1",NA
"pero se encuentra condicionada, no solo por la incertidumbre que necesariamente todo futuro supone,","but it is conditioned not only by the uncertainty that every future necessarily entails,","305.1",NA
"sino también por las propias limitaciones de un programa rígido que no hace del cambio y la variación su esencia.","but also by the limitations of a rigid program that does not make change and variation its essence.","305.1",NA
"La consecuencia de este estilo imperante en la historia del país es la enorme y recurrente diferencia entre lo prometido y lo realizado una vez culminada la gestión de un gobierno.","The consequence of this prevailing style in the history of the country is the enormous and recurrent difference between what was promised and what was achieved once a government's term of office is over.","305.1",NA
"La otra forma de hacer política se basa en un diferente modo de concebirla y practicarla:","The other way of doing politics is based on a different way of conceiving and practicing it:","202.1",NA
"como un hacer colectivo para producir, conservar y desarrollar la casa común de los ciudadanos.","as a collective action to produce, conserve and develop the common home of the citizens.","202.1",NA
"Es aquella actividad mediante la cual desarrollamos la vida pública,","It is the activity through which we develop public life,","202.1",NA
"tomamos las decisiones que a todos nos atañen","make decisions that concern us all","202.1",NA
"y definimos nuestro futuro como grupo.","and define our future as a group.","202.1",NA
"En este caso los programas partidarios son menos precisos y detallados por cuanto,","In this case, party programs are less precise and detailed in that,","202.1",NA
"sin perjuicio de pautas y señalamientos diferenciales,","without prejudice to differential guidelines and indications, they","202.1",NA
"suponen una permanente invitación a la acción dirigida a todos aquellos deseosos de participar en la gestión de la cosa pública.","are a permanent invitation to action addressed to all those who wish to participate in the management of public affairs.","202.1",NA
"Sin cerrar las instituciones,","Without closing the institutions,","202.1",NA
"sino abriéndolas al influjo vivificante de la participación.","but opening them to the life-giving influence of participation.","202.1",NA
"Este modo de considerar la política como una constante incitación a la colaboración de todos en la generación de una ciudadanía común es el que caracteriza al Partido Independiente,","This way of considering politics as a constant incitement to the collaboration of all in the generation of a common citizenship is the one that characterizes the Independent Party,","305.1",NA
"convencido de que las viejas fórmulas en las que un comité de sabios elaboraba una propuesta para que luego la ciudadanía la acompañara no constituye la mejor manera de considerar la política en el mundo moderno.","convinced that the old formulas in which a committee of wise men elaborated a proposal to be then accompanied by the citizenship does not constitute the best way of considering politics in the modern world.","305.1",NA
"Ello no significa que todos los ciudadanos deban participar necesariamente en la generación del ámbito público o quieran hacerlo,","This does not mean that all citizens must necessarily participate in the generation of the public sphere or want to do so,","202.1",NA
"sino que todos están invitados libremente a hacerlo, si esa es su voluntad.","but that all are freely invited to do so, if that is their will.","202.1",NA
"Para ello se proporcionan mecanismos e instancias institucionales que inciten a esa participación y la faciliten,","To this end, institutional mechanisms and instances are provided to encourage and facilitate such participation,","202.1",NA
"pero que a su vez se mantengan atentos a que esa intervención ciudadana no se transforme en una forma disfrazada de corporativismo que,","but at the same time to ensure that such citizen intervention does not turn into a disguised form of corporatism that, for the","202.1",NA
"en aras de intereses generalmente ideológicos,","sake of ideological interests,","202.1",NA
"termine por deslegitimar la democracia practicada en forma directa.","ends up delegitimizing democracy practiced directly.","202.1",NA
"Esto únicamente puede conseguirse preservando la presencia partidaria en aquellos ámbitos de actuación popular.","This can only be achieved by preserving the party presence in those areas of popular action.","202.1",NA
"En ese sentido, lo que aquí ofrecemos es nuestro programa partidario expresado en un conjunto de pautas generales y propuestas concretas sobre los diferentes campos de nuestra vida en sociedad.","In that sense, what we offer here is our party program expressed in a set of general guidelines and concrete proposals on the different fields of our life in society.","305.1",NA
"Ellas expresan nuestras convicciones y apuestas para nuestro país,","They express our convictions and our bets for our country, with the hope","305.1",NA
"con la esperanza de que inviten a la ciudadanía a convertirse en agente activo de la generación de la casa común.","that they will invite citizens to become active agents in the generation of the common home.","305.1",NA
"Tal es la forma como nuestro partido concibe a la República,","This is the way in which our party conceives the Republic,","202.1",NA
"es decir, el ámbito donde los habitantes procuran su libre realización individual y familiar en condiciones materiales lo más igualitarias posible,","that is, the sphere where the inhabitants seek their free individual and family fulfillment in material conditions as egalitarian as possible,","202.1",NA
"para lo cual es imprescindible la presencia y la colaboración estatal.","for which the presence and collaboration of the State is essential.","202.1",NA
"No solamente por razones de justicia,","Not only for reasons of justice,","202.1",NA
"sino también para hacer efectivo el funcionamiento de la democracia.","but also to make the functioning of democracy effective.","202.1",NA
"Podemos tener un futuro excepcional","We can have an exceptional future","H",NA
"Se requiere un gobierno capaz de afrontar ese desafío con ideas nuevas,","It requires a government capable of facing this challenge with new ideas,","305.3",NA
"libres de viejos prejuicios y modos de pensamiento heredados del siglo XIX.","free from old prejudices and ways of thinking inherited from the 19th century.","305.3",NA
"Nuestro partido está convencido de que el Uruguay vive momentos trascendentales en su desarrollo como nación.","Our party is convinced that Uruguay is living transcendental moments in its development as a nation.","305.1",NA
"Las transformaciones ocurridas en el mundo,","The transformations that have taken place in the world,","107",NA
"el desarrollo de los grandes países subdesarrollados del sudeste asiático —como China e India—","the development of the large underdeveloped countries of Southeast Asia -such as China and India-","107",NA
"y la generación de espacios de integración tanto regional como mundial han producido condiciones generales para el robustecimiento de nuestra economía de exportación.","and the creation of regional and global integration spaces have produced general conditions for the strengthening of our export economy.","107",NA
"Lo mismo ha sucedido con la existencia de flujos de capital que se han localizado en el país,","The same has happened with the existence of capital flows that have been localized in the country,","410",NA
"modificando de manera importante su tasa tradicional de inversiones con relación al producto.","significantly modifying its traditional rate of investment in relation to the product.","410",NA
"Todo ello ha facilitado que en los últimos diez años el país haya asistido a un importante crecimiento económico","All of this has allowed the country to witness significant economic growth in the last ten years","410",NA
"que ha redundado en que alcancemos los mayores incrementos de ingreso per cápita del continente.",", which has resulted in the highest per capita income increases in the continent.","410",NA
"Lamentablemente, como se expone en el capítulo económico de este programa, ese crecimiento no fue debidamente utilizado por las últimas administraciones.","Unfortunately, as discussed in the economic chapter of this program, this growth was not properly utilized by the last administrations.","410",NA
"Estas debieron aprovecharlo para generar una renovada infraestructura","They should have taken advantage of it to generate a renewed infrastructure","411",NA
"que habría permitido agregar más trabajo y tecnología a los productos exportados,","that would have made it possible to add more work and technology to the exported products,","411",NA
"modificando de manera más radical la estructura tradicional de nuestro perfil productivo,","modifying more radically the traditional structure of our productive profile,","410",NA
"basado en productos primarios con pocas transformaciones.","based on primary products with few transformations.","410",NA
"Cuando las condiciones externas","When external conditions","408",NA
"—tanto en materia de inversiones de capital como en materia de facilidades y precios de exportación—","-both in terms of capital investments and export facilities and prices- do","408",NA
"no parecen presentarse con las mismas facilidades que hasta ahora,","not seem to be as easy as they have been so far, it will be","408",NA
"se podrá aquilatar cuánto el gobierno desperdició de esta excepcional coyuntura de bonanza que atravesamos.","possible to assess how much the government has wasted of this exceptional bonanza we are going through.","408",NA
"Sin embargo, considerando el envión productivo de la década,","However, considering the productive momentum of the decade,","410",NA
"el Uruguay sigue en condiciones de proyectarse hacia el futuro,","Uruguay is still in a position to project itself into the future,","410",NA
"en la medida en que se atenga como necesidad perentoria a modificaciones profundas en su matriz,","to the extent that it is subject to profound changes in its matrix as a peremptory necessity,","410",NA
"tanto productiva como cultural, social y laboral.","productive as well as cultural, social and labor.","410",NA
"Para ello se requiere un gobierno capaz de afrontar ese desafío con ideas nuevas,","This requires a government capable of facing this challenge with new ideas,","305.3",NA
"libres de viejos prejuicios y modos de pensamiento heredados del siglo XIX,","free of old prejudices and ways of thinking inherited from the 19th century,","305.3",NA
"como los que aún sigue cargando.","such as those that it is still carrying.","305.3",NA
"En este sentido, si bien el crecimiento económico ha sido notorio,","In this sense, although economic growth has been notorious,","410",NA
"como también lo fueron el descenso en las tasas de pobreza e indigencia,","as has the decrease in poverty and indigence rates,","503",NA
"este mejoramiento no fue acompañado por un proceso acorde de integración social.","this improvement has not been accompanied by a commensurate process of social integration.","503",NA
"El Uruguay está dividido socialmente entre una gran mayoría alineada con las pautas generales de nuestra cultura como nación,","Uruguay is socially divided between a large majority aligned with the general guidelines of our culture as a nation,","602.1",NA
"construida y sostenida en largas décadas de acumulación,","built and sustained over long decades of accumulation,","602.1",NA
"y una minoría que vive ajena a los valores y las formas de pensamiento de la mayoría.","and a minority that lives outside the values and ways of thinking of the majority.","602.1",NA
"Por ende, esta minoría cultiva formas de vida diferentes, con conductas, aspiraciones y visiones del futuro distintas de las del resto de la población.","Therefore, this minority cultivates different ways of life, with behaviors, aspirations and visions of the future that are different from those of the rest of the population.","602.1",NA
"Esta fractura que tiende a ensancharse,","This fracture, which tends to widen","602.1",NA
"pese a la mejoría económica,","despite the economic improvement,","602.1",NA
"ajena en gran medida al desarrollo económico y a las propias condiciones sociales,","largely unrelated to economic development and social conditions, is","602.1",NA
"supone un grave problema para el país","a serious problem for the country","602.1",NA
"y constituye el factor más gravitante en la situación de inseguridad frente al delito en que vivimos.","and is the most serious factor in the situation of insecurity in the face of crime in which we live.","602.1",NA
"La necesidad urgente de políticas sociales, educativas y culturales eficaces que superen esta brecha creciente se transforma en un imperativo insoslayable","The urgent need for effective social, educational and cultural policies to overcome this growing gap has become an unavoidable imperative","503",NA
"y es demostrativa del mayor fracaso de los últimos gobiernos.","and demonstrates the greatest failure of recent governments.","305.1",NA
"Un fracaso cuya evidencia más fuerte se patentiza en la política educativa,","A failure whose strongest evidence is evident in the educational policy,","506",NA
"que avanza raudamente hacia el pasado","which is rapidly advancing towards the past","506",NA
"y que si continúa a este ritmo de retroceso muy pronto se colocará bastante antes, incluso, de la reforma vareliana.","and if it continues at this rate of regression, it will soon be well before even the Varela reform.","506",NA
"El resultado será una sociedad con minorías elitistas altamente formadas,","The result will be a society with highly educated elite minorities,","705",NA
"inmersas culturalmente en un pueblo en su mayoría incapaz de culminar la educación secundaria.","culturally immersed in a people mostly incapable of completing secondary education.","705",NA
"La antítesis de la democracia moderna.","The antithesis of modern democracy.","202.1",NA
"La necesidad urgente de políticas sociales, educativas y culturales eficaces que superen esta brecha creciente se transforma en un imperativo insoslayable","The urgent need for effective social, educational and cultural policies to overcome this growing gap is an unavoidable imperative.","503",NA
"y es demostrativa del mayor fracaso de los últimos gobiernos.","and is demonstrative of the greatest failure of recent governments.","305.1",NA
"Paradójicamente, hacía mucho tiempo que el Uruguay no tenía la oportunidad de concretar un proyecto transformador e irreversible en el camino del desarrollo que lo volviera a colocar como un país líder,","Paradoxically, it had been a long time since Uruguay had had the opportunity to carry out a transforming and irreversible project on the road to development that would once again position it as a leading country, a","601.1",NA
"referente en la región por su nivel de desarrollo en todas sus dimensiones.","benchmark in the region for its level of development in all its dimensions.","601.1",NA
"Hoy eso es posible.","Today this is possible.","601.1",NA
"Porque es posible transitar otro trayecto,","Because it is possible to travel another path,","601.1",NA
"es posible avanzar en forma decidida hacia la recuperación de un país culturalmente integrado,","it is possible to move decisively towards the recovery of a culturally integrated country,","608.1",NA
"económicamente próspero,","economically prosperous,","410",NA
"socialmente equitativo,","socially equitable,","503",NA
"republicano y políticamente democrático y pluralista.","republican and politically democratic and pluralistic.","202.1",NA
"Justamente, la propuesta que aquí se presenta busca ser un aporte sustantivo en esa dirección.","The proposal presented here seeks to make a substantive contribution in this direction.","305.1",NA
"Priorizar el esfuerzo y la responsabilidad de los ciudadanos comunes","Prioritizing the effort and responsibility of ordinary citizens","H",NA
"Un país de avanzada es aquel en el que los ciudadanos sean protegidos adecuadamente en sus derechos sin necesidad de que formen parte de organizaciones corporativas ni dependan de los favores políticos de los gobiernos de turno.","An advanced country is one in which citizens are adequately protected in their rights without the need for them to be part of corporate organizations or depend on the political favors of the governments in power.","702",NA
"La construcción de un país próspero y solidario implica reivindicar la importancia del esfuerzo y la responsabilidad de los ciudadanos comunes,","The construction of a prosperous and supportive country implies vindicating the importance of the effort and responsibility of ordinary citizens,","706",NA
"aquellos que viven de su trabajo,","those who live from their work,","706",NA
"cumplen sus obligaciones y carecen de respaldos específicos que les permitan obtener resultados particularistas.","The company is not able to meet its obligations and lacks specific backing that would allow it to obtain specific results.","706",NA
"Esto implica que es necesario superar las tendencias corporativistas","This implies that it is necessary to overcome corporatist tendencies","702",NA
"y ubicar la reivindicación de los intereses particulares dentro del marco más general de articulación de los intereses generales de nuestra sociedad.","and to place the vindication of particular interests within the more general framework of articulation of the general interests of our society.","702",NA
"En particular, tampoco ayuda un corporativismo sindical que,","In particular, it does not help either a union corporatism that,","702",NA
"al socaire de la legítima defensa de los intereses de los trabajadores,","under the guise of the legitimate defense of workers' interests,","702",NA
"transgrede permanentemente los límites de la vida gremial para transformarse,","permanently transgresses the limits of union life to become,","702",NA
"ya en un auxiliar del partido de gobierno,","either an auxiliary of the governing party,","702",NA
"denostando y descalificando a la oposición y contribuyendo a la segmentación política señalada,","denigrating and disqualifying the opposition and contributing to the aforementioned political segmentation,","702",NA
"ya en uno de los inspiradores de un ideal político de exclusivismo de una clase social históricamente señalada para cumplir un rol de poder tan pronto las condiciones sociopolíticas lo hagan posible.","or one of the inspirers of a political ideal of exclusivism of a social class historically marked to fulfill a role of power as soon as the socio-political conditions make it possible.","702",NA
"Ambos modelos están lejos de un ideal democrático pluralista.","Both models are far from a pluralistic democratic ideal.","202.1",NA
"Por el contrario, un país de avanzada es aquel en el que los ciudadanos sean protegidos adecuadamente en sus derechos sin necesidad de que formen parte de organizaciones corporativas ni dependan de los favores políticos de los gobiernos de turno.","On the contrary, an advanced country is one in which citizens are adequately protected in their rights without the need for them to be part of corporate organizations or depend on the political favors of the governments in power.","702",NA
"Acuerdos políticos plurales que superen la lógica de la confrontación","Plural political agreements that go beyond the logic of confrontation","H",NA
"En materia política seguimos cultivando otra dislocación cultural que pretende dividir al país en dos mitades más o menos equivalentes.","In political matters, we continue to cultivate another cultural dislocation that pretends to divide the country into two more or less equivalent halves.","602.1",NA
"Por un lado el partido de gobierno y sus seguidores","On the one hand, the governing party and its supporters","602.1",NA
"y por el otro los partidos que estamos en la oposición.",", and on the other hand, the opposition parties.","602.1",NA
"Esta dicotomía maniqueísta ha supuesto un creciente empobrecimiento del debate y de la discusión política que impide la posibilidad de entendimientos amplios y plurales.","This Manichean dichotomy has led to a growing impoverishment of political debate and discussion that prevents the possibility of broad and pluralistic understandings.","602.1",NA
"Se configura de ese modo un panorama de confrontación y sospecha política que hace imposible concretar políticas de concertación que permitan sumar voluntades en un esfuerzo común hacia estrategias de desarrollo de mayor alcance,","The result is a panorama of confrontation and political suspicion that makes it impossible to implement consensus-building policies that would make it possible to unite wills in a common effort towards development strategies of greater scope,","602.1",NA
"permanencia e inclusividad.","permanence and inclusiveness.","602.1",NA
"Lo que se ha dado en denominar políticas de Estado ha sido casi imposible de practicar en el Uruguay de los últimos tiempos.","What has come to be known as State policies has been almost impossible to practice in Uruguay in recent times.","602.1",NA
"No se trata de desconocer las diferencias que hacen a la riqueza de la vida moderna;","It is not a matter of ignoring the differences that make up the richness of modern life; it","601.1",NA
"se trata de no sumar a una dislocación social que genera dos culturas enfrentadas,","is a matter of not adding to a social dislocation that generates two opposing cultures,","601.1",NA
"una separación política que impide pensarnos como una nación, como una comunidad con afectos, valores y un pasado político común.","a political separation that prevents us from thinking of ourselves as a nation, as a community with affections, values and a common political past.","601.1",NA
"Aquel ideal nacional que históricamente el país cultivó mediante estrategias de coparticipación,","That national ideal that historically the country cultivated through co-participation strategies is","601.1",NA
"ahora ni siquiera se ve facilitado por el presidencialismo que nos rige,","now not even facilitated by the presidentialism that governs us,","601.1",NA
"tan poco proclive a las coaliciones parlamentarias que hacen a la vida de las naciones más desarrolladas tanto política como socialmente.","so little inclined to the parliamentary coalitions that make the life of the most developed nations both politically and socially.","601.1",NA
"En tal sentido, reiteramos nuestra convicción de que la instauración de un régimen parlamentarista favorecería significativamente la consolidación de una cultura política fundada en acuerdos y entendimientos plurales.","In this regard, we reiterate our conviction that the establishment of a parliamentary regime would significantly favor the consolidation of a political culture based on agreements and pluralistic understandings.","202.3",NA
"La unanimidad de la preferencia por los presidencialismos en América Latina no ha sido","The unanimous preference for presidentialism in Latin America has not been","202.3",NA
"—particularmente en los últimos años—","-particularly in recent years-","202.3",NA
"un factor promotor de una cultura política inclusiva y de búsqueda de consensos.","a factor promoting an inclusive political culture and the search for consensus.","202.3",NA
"Nuestro país está en condiciones ideales de apostar a la instauración del parlamentarismo puesto que cuenta con una longeva cultura de la coparticipación y con partidos políticos fuertes y representativos.","Our country is in ideal conditions to bet on the establishment of parliamentarism since it has a long-standing culture of participation and strong and representative political parties.","202.3",NA
"Por ello en esta oportunidad ratificamos nuestra propuesta de reforma constitucional presentada en julio de 2004,","Therefore, on this occasion we ratify our proposal for constitutional reform presented in July 2004, by which we","204",NA
"por la que proponíamos la instauración de un régimen de gobierno parlamentarista.","proposed the establishment of a parliamentary system of government.","202.3",NA
"La instauración de un régimen parlamentarista favorecería significativamente la consolidación de una cultura política fundada en acuerdos y entendimientos plurales.","The establishment of a parliamentary regime would significantly favor the consolidation of a political culture based on agreements and plural understandings.","202.3",NA
"Una propuesta desde las convicciones socialdemócratas","A proposal based on social-democratic convictions","H",NA
"El gobierno existe y se justifica por su capacidad para permitir a la población,","Government exists and is justified by its ability to enable the population, under the","305.3",NA
"en las mejores condiciones,","best conditions, to","305.3",NA
"la realización de sus aspiraciones individuales.","realize their individual aspirations.","305.3",NA
"Por último, en lo referido a su posicionamiento ideológico,","Finally, with regard to its ideological positioning,","202.1",NA
"el Partido Independiente se sitúa en un espacio común compartido por la socialdemocracia,","the Independent Party is situated in a common space shared by social democracy,","202.1",NA
"ciertas corrientes del socialcristianismo y el liberalismo igualitarista,","certain currents of social Christianity and egalitarian liberalism,","202.1",NA
"en lo que también se ha denominado un liberalismo social o de izquierda.","in what has also been called a social or left liberalism.","202.1",NA
"Sabido es que las doctrinas políticas viven una larga crisis de definición,","It is well known that political doctrines are going through a long crisis of definition, which","000",NA
"comenzada pero no culminada con la caída del mundo comunista en todas sus versiones.","began but did not culminate with the fall of the communist world in all its versions.","000",NA
"A partir de los años ochenta del siglo pasado, bien puede decirse que estamos inmersos en lo que sin mucha precisión se ha denominado la posmodernidad,","Since the eighties of the last century, it can be said that we are immersed in what without much precision has been called postmodernity, an","202.1",NA
"una caracterización acertada si por ella comprendemos el declive de las ideologías totalizadoras,","accurate characterization if by it we understand the decline of totalizing ideologies,","202.1",NA
"que no solo pretenden incursionar en la justicia social,","which not only pretend to make inroads in social justice,","202.1",NA
"sino que también adelantan fórmulas y recetas para la autorrealización humana en todos los campos,","but also advance formulas and recipes for human self-realization in all fields,","202.1",NA
"en lo que se ha dado en llamar religiones seculares.","in what has been called secular religions.","202.1",NA
"Asistimos en este nuevo siglo al declive definitivo de este tipo de relatos,","In this new century, we are witnessing the definitive decline of this type of stories,","202.1",NA
"con sus ambiciosas pretensiones de constituir pócimas incuestionables para la felicidad de hombres y mujeres.","with their ambitious pretensions of constituting unquestionable potions for the happiness of men and women.","202.1",NA
"Así, los programas políticos, si pretenden ajustarse a los límites de la democracia como forma de gobierno,","Thus, political programs, if they intend to adjust to the limits of democracy as a form of government,","202.1",NA
"deberán limitarse a adelantar caminos para las mejores formas de convivencia en un marco de justicia social,","should limit themselves to advancing paths for the best forms of coexistence within a framework of social justice,","503",NA
"renunciando a cualquier pronunciamiento sobre temas esenciales,","renouncing any pronouncement on essential issues,","503",NA
"que por su propia naturaleza valorativo-existencial no corresponden al ámbito de la política.","which by their own valuational-existential nature do not correspond to the realm of politics.","503",NA
"Eso significa que el gobierno existe y se justifica por su capacidad para permitir a la población,","This means that the government exists and is justified by its ability to enable the population,","503",NA
"en las mejores condiciones,","in the best conditions,","503",NA
"la realización de sus aspiraciones individuales.","the realization of their individual aspirations.","503",NA
"Con estas precisiones digamos que nuestra concepción de la socialdemocracia,","With these precisions, let us say that our conception of social democracy, in","202.1",NA
"acorde con las evidencias aportadas por el mundo contemporáneo,","accordance with the evidence provided by the contemporary world,","202.1",NA
"se aparta de las tradiciones históricas provenientes del siglo XIX,","departs from the historical traditions coming from the 19th century,","202.1",NA
"todas las cuales apuntaban al socialismo como norte valorativo","all of which pointed to socialism as a valuative north","202.1",NA
"—socialización de los medios de producción y de cambio a la que se podría llegar en algún momento imprecisamente definido—,","-socialization of the means of production and exchange that could be reached at some imprecisely defined point in time-,","202.1",NA
"para caracterizarla como un régimen de economía capitalista basado en la libertad económica","to characterize it as a regime of capitalist economy based on economic freedom","401",NA
"pero con intervención estatal para incentivar, corregir o superar las fallas e imperfecciones del mercado en lo relacionado con el propio funcionamiento económico.","but with state intervention to encourage, correct or overcome the failures and imperfections of the market in relation to its own economic functioning.","503",NA
"Una intervención cuyos límites,","An intervention whose limits,","401",NA
"diferentes en cada coyuntura nacional e internacional,","different in each national and international situation,","401",NA
"están determinados por la preservación de la lógica de la utilidad en que se funda el sistema capitalista.","are determined by the preservation of the logic of utility on which the capitalist system is based.","401",NA
"A su vez, esta misma filosofía económica encierra, como adelantamos, un fuerte componente de justicia social,","In turn, this same economic philosophy contains, as mentioned above, a strong component of social justice,","503",NA
"atendiendo a que esta, junto con el mantenimiento de la paz y la seguridad internas y externas,","given that this, together with the maintenance of internal and external peace and security,","503",NA
"constituye los fundamentos últimos de la existencia del Estado.","constitutes the ultimate foundations of the existence of the State.","503",NA
"En ese sentido el objetivo de la socialdemocracia es promover, en el estricto respeto de la autonomía individual,","In this sense, the objective of social democracy is to promote, with strict respect for individual autonomy,","201.1",NA
"el mayor y más equitativo desarrollo humano compatible con la vida en común.","the greatest and most equitable human development compatible with life in common.","503",NA
"Tenemos la convicción de que ni las diferencias biológicas ni las sociales constituyen distinciones y particularidades que,","We are convinced that neither biological nor social differences constitute distinctions and particularities that,","503",NA
"si bien son inevitables,","although inevitable,","503",NA
"justifiquen la inequidad.","justify inequity.","503",NA
"En este sentido no existe duda de que como modelo económico el capitalismo es un permanente productor de asimetrías,","In this sense, there is no doubt that capitalism as an economic model is a permanent producer of asymmetries,","503",NA
"al castigar a unos y premiar a otros de formas normalmente injustas e imprevisibles.","punishing some and rewarding others in ways that are normally unfair and unpredictable.","503",NA
"La propia historia del capitalismo del siglo XV en adelante es un permanente recordatorio de su inequidad.","The very history of capitalism from the 15th century onward is a constant reminder of its inequity.","503",NA
"Eso no obstante el socialismo, aun en su forma más humanista","Nevertheless, socialism, even in its most humanistic form","202.1",NA
"—como pretendida forma de liberación humana—,","- as a supposed form of human liberation -","202.1",NA
"se ha revelado como frontalmente incompatible con la democracia y sus libertades individuales anexas,","has proved to be totally incompatible with democracy and the individual freedoms attached to it,","202.1",NA
"mientras reducido a un mero modelo económico —y aun suponiendo que pueda implementarse sin coacciones ni limitaciones de las libertades fundamentales—","while reduced to a mere economic model - and even assuming that it can be implemented without coercion or limitations on fundamental freedoms - it","408",NA
"resulta ineficaz e incapaz de generar un crecimiento económico sostenido.","is ineffective and incapable of generating sustained economic growth.","408",NA
"Por este cúmulo de razones la socialdemocracia, tal como la interpreta el Partido Independiente, si adopta la economía capitalista no lo hace por considerarla el bien supremo ni la fórmula perfecta para la realización humana.","For this accumulation of reasons, social democracy, as interpreted by the Independent Party, if it adopts the capitalist economy, does not do so because it considers it the supreme good or the perfect formula for human fulfillment.","503",NA
"Muy por el contrario, es perfectamente consciente de sus dificultades para una justa distribución de la producción social y para obtener comunidades integradas y solidarias.","On the contrary, it is perfectly aware of its difficulties for a fair distribution of social production and for obtaining integrated and solidary communities.","503",NA
"No obstante también, como se dijo, el Partido Independiente tiene claro que el socialismo, o se aplica de forma autoritaria, generando los terribles totalitarismos que el siglo XX ha exhibido,","However, the Independent Party is also clear that socialism is either applied in an authoritarian manner, generating the terrible totalitarianisms that the 20th century has exhibited,","201.2",NA
"o se vuelve imposible de implementar sin contrariar la libertad, la tolerancia y el espíritu de realización —aun en el plano material— del ser humano.","or it becomes impossible to implement without contradicting freedom, tolerance and the spirit of realization -even on the material level- of the human being.","201.1",NA
"De allí su apelación a la permanente intervención gubernamental,","Hence its appeal to permanent government intervention,","403",NA
"tanto en el desempeño económico como en el distributivo","both in economic and distributive performance","403",NA
"—lo que, junto con la libertad económica, constituye un componente insoslayable de su modelo social y económico—,","-which, together with economic freedom, constitutes an unavoidable component of its social and economic model-,","403",NA
"pero abandonando definitivamente la esperanza,","but definitively abandoning the hope,","403",NA
"que se convierte en una pesada rémora,","which becomes a heavy burden,","403",NA
"de que este tipo de políticas constituya un camino transitorio hasta la definitiva consecución del socialismo","that this type of policies constitute a transitory path until the definitive attainment of socialism","403",NA
