"text","text_en","cmp_code","eu_code"
"Agenda de gobierno del Partido Nacional","Government agenda of the National Party","H",NA
"Capítulo 1","Chapter 1","H",NA
"Introducción","Introduction","H",NA
"Un país es algo más que una suma de individuos.","A country is more than a sum of individuals.","601.1",NA
"Un país es un “nosotros” compuesto de personas que comparten proyectos, esperanzas, necesidades, preocupaciones.","A country is a ""we"" composed of people who share projects, hopes, needs and concerns.","601.1",NA
"Ser país significa asumir que cada uruguayo cuenta.","Being a country means assuming that every Uruguayan counts.","601.1",NA
"Un Uruguay mejor se construye ofreciendo protección y apoyo para todos.","A better Uruguay is built by offering protection and support for all.","601.1",NA
"Ningún país puede ser un buen lugar para vivir si sólo es bueno para unos pocos.","No country can be a good place to live if it is only good for a few.","503",NA
"Nosotros queremos construir un Uruguay mejor.","We want to build a better Uruguay.","601.1",NA
"Queremos construir un país que cuide a su gente.","We want to build a country that cares for its people.","605.1",NA
"Un país que cuida a su gente es, ante todo, un país que se toma muy en serio el tema de la seguridad.","A country that takes care of its people is, above all, a country that takes the issue of security very seriously.","605.1",NA
"No nos estamos cuidando si hay gente que es víctima de rapiñas y homicidios porque el Estado no está allí para protegerla.","We are not taking care of ourselves if there are people who are victims of robberies and homicides because the State is not there to protect them.","605.1",NA
"No nos estamos cuidando si hay niños que tienen que crecer sin su padre o sin su madre porque se los llevó la violencia.","We are not taking care of ourselves if there are children who have to grow up without their father or mother because they were taken away by violence.","605.1",NA
"No nos estamos cuidando si hay personas mayores que son lastimadas en la calle.","We are not taking care of ourselves if there are elderly people getting hurt on the street.","605.1",NA
"No nos estamos cuidando si hay gente que no puede salir de su casa porque no se anima a dejarla sola.","We are not taking care of ourselves if there are people who cannot leave their homes because they do not dare to leave them alone.","605.1",NA
"Recuperar la seguridad es recuperar la calidad de la convivencia.","To recover security is to recover the quality of coexistence.","605.1",NA
"Cuidar a nuestra gente también significa organizar los servicios de salud de una manera que sea verdaderamente universal e integrada.","Caring for our people also means organizing health services in a way that is truly universal and integrated.","504",NA
"No tenemos un buen sistema de salud si le prometemos a mucha gente que va a poder atenderse en una mutualista, pero después no puede pagar los tickets o debe esperar semanas para una consulta.","We do not have a good health care system if we promise many people that they will be able to receive care at a mutual insurance company, but then they cannot pay for the tickets or must wait weeks for a consultation.","504",NA
"No tenemos una salud integrada si las pequeñas comunidades del interior quedan relegadas y aisladas.","We do not have integrated health if small communities in the interior are left behind and isolated.","504",NA
"No tenemos una salud integrada si en algunos lugares sobran las ambulancias y en otros faltan.","We do not have integrated health if in some places there are too many ambulances and in others there are too few.","504",NA
"Cuidar a nuestra gente significa prestar atención al gran problema de las adicciones, y ofrecer soluciones a los adictos y sus familias.","Caring for our people means paying attention to the major problem of addictions, and offering solutions to addicts and their families.","504",NA
"También significa tener un buen sistema de prevención del consumo de alcohol y drogas, que tenga como centro una amplia política de deportes con sentido social.","It also means having a good alcohol and drug prevention system, with a broad socially meaningful sports policy at its core.","504",NA
"Cuidar a nuestra gente significa tener una seguridad social que efectivamente proteja a los uruguayos que llegan a la edad del retiro, en lugar de convertirla en un campo de batallas ideológicas.","Taking care of our people means having a social security system that effectively protects Uruguayans who reach retirement age, instead of turning it into an ideological battlefield.","504",NA
