"text","text_en","cmp_code","eu_code"
"POR UN GOBIERNO ANTIIMPERIALISTA Y POPULAR","FOR AN ANTI-IMPERIALIST AND POPULAR GOVERNMENT","H",NA
"UN VOTO DE COMPROMISO UN VOTO DE CONFIANZA","A VOTE OF COMMITMENT A VOTE OF CONFIDENCE","H",NA
"APROBADO POR EL 2° ENCUENTRO NACIONAL DE MILITANTES","APPROVED BY THE 2ND NATIONAL MILITANTS MEETING","H",NA
"23 de Noviembre de 2013","November 23, 2013","H",NA
"Introducción","Introduction","H",NA
"La Unidad Popular-Lema Asamblea Popular es una herramienta política unitaria","The Popular Unity-Popular Assembly is a unitary political tool","305.1",NA
"que viene agrupando a las organizaciones, partidos y militantes independientes,","that has been grouping together the organizations, parties and independent militants,","305.1",NA
"que persistimos firmemente en la lucha contra la oligarquía","who firmly persist in the struggle against the oligarchy","415",NA
"y el imperialismo capitalista,","and capitalist imperialism,","103.1",NA
"y luchamos consecuentemente por un verdadero gobierno antimperialista y popular.","and consistently fight for a true anti-imperialist and popular government.","103.1",NA
"Luego de la experiencia vivida durante estos dos gobiernos del Frente Amplio, que ha continuado y profundizado la dependencia,","After the experience lived during these two governments of the Frente Amplio, which has continued and deepened dependence,","305.1",NA
"la entrega del país,","the surrender of the country, the","103.1",NA
"la explotación de los trabajadores y el pueblo","exploitation of the workers and the people","201.2",NA
"y el saqueo de nuestros bienes,","and the plundering of our goods,","103.1",NA
"reafirmamos que sólo rompiendo con el imperialismo y llevando adelante un programa de cambios estructurales profundos podremos dar un paso firme hacia la liberación nacional y social,","we reaffirm that only by breaking with imperialism and carrying out a program of profound structural changes can we take a firm step towards national and social liberation,","103.1",NA
"en la perspectiva del Socialismo.","in the perspective of Socialism.","103.1",NA
"Durante el año 2013 hemos trabajado intensamente en talleres temáticos, abiertos, plurales y democráticos, donde se han recibido los aportes de nuestra militancia y amigos.","During 2013 we have worked intensively in thematic, open, plural and democratic workshops, where we have received contributions from our militancy and friends.","305.1",NA
"Estos aportes reflejan las reivindicaciones y la experiencia en la lucha por los intereses del pueblo en los distintos sectores.","These contributions reflect the demands and experience in the struggle for the interests of the people in different sectors.","305.1",NA
"Finalmente, el 2° Encuentro Nacional de Militantes, del 23 de Noviembre, ha aprobado un programa que se sintetiza en 35 temas.","Finally, the 2nd National Meeting of Militants, on November 23, approved a program summarized in 35 themes.","000",NA
"Este programa, retoma y actualiza, en las nuevas condiciones histórico-sociales, el viejo programa revolucionario que siempre ha planteado la izquierda uruguaya.","This program takes up and updates, in the new historical-social conditions, the old revolutionary program that the Uruguayan left has always put forward.","305.1",NA
"Programa que los oportunistas han usado para llegar al gobierno y luego han abandonado,","A program that the opportunists have used to reach the government and then abandoned,","305.1",NA
"y que defendió históricamente  la independencia y la soberanía del país,","and which historically defended the independence and sovereignty of the country, the","109",NA
"los intereses de la clase obrera,","interests of the working class,","415",NA
"los pequeños y medianos productores y comerciantes del campo y la ciudad,","the small and medium producers and merchants of the countryside and the city,","701",NA
